step,MR:0.0 ID:C Mode:none_mean_opinions,MR:0.0 ID:C Mode:none_non_zealot_variance,MR:0.0 ID:C Mode:none_cluster_variance,MR:0.0 ID:C Mode:none_negative_counts,MR:0.0 ID:C Mode:none_negative_means,MR:0.0 ID:C Mode:none_positive_counts,MR:0.0 ID:C Mode:none_positive_means,MR:0.0 ID:C Mode:none_polarization_index,MR:0.0 ID:C Mode:clustered_mean_opinions,MR:0.0 ID:C Mode:clustered_non_zealot_variance,MR:0.0 ID:C Mode:clustered_cluster_variance,MR:0.0 ID:C Mode:clustered_negative_counts,MR:0.0 ID:C Mode:clustered_negative_means,MR:0.0 ID:C Mode:clustered_positive_counts,MR:0.0 ID:C Mode:clustered_positive_means,MR:0.0 ID:C Mode:clustered_polarization_index,MR:0.0 ID:C Mode:random_mean_opinions,MR:0.0 ID:C Mode:random_non_zealot_variance,MR:0.0 ID:C Mode:random_cluster_variance,MR:0.0 ID:C Mode:random_negative_counts,MR:0.0 ID:C Mode:random_negative_means,MR:0.0 ID:C Mode:random_positive_counts,MR:0.0 ID:C Mode:random_positive_means,MR:0.0 ID:C Mode:random_polarization_index,MR:0.0 ID:C Mode:high-degree_mean_opinions,MR:0.0 ID:C Mode:high-degree_non_zealot_variance,MR:0.0 ID:C Mode:high-degree_cluster_variance,MR:0.0 ID:C Mode:high-degree_negative_counts,MR:0.0 ID:C Mode:high-degree_negative_means,MR:0.0 ID:C Mode:high-degree_positive_counts,MR:0.0 ID:C Mode:high-degree_positive_means,MR:0.0 ID:C Mode:high-degree_polarization_index,MR:0.3 ID:C Mode:none_mean_opinions,MR:0.3 ID:C Mode:none_non_zealot_variance,MR:0.3 ID:C Mode:none_cluster_variance,MR:0.3 ID:C Mode:none_negative_counts,MR:0.3 ID:C Mode:none_negative_means,MR:0.3 ID:C Mode:none_positive_counts,MR:0.3 ID:C Mode:none_positive_means,MR:0.3 ID:C Mode:none_polarization_index,MR:0.3 ID:C Mode:clustered_mean_opinions,MR:0.3 ID:C Mode:clustered_non_zealot_variance,MR:0.3 ID:C Mode:clustered_cluster_variance,MR:0.3 ID:C Mode:clustered_negative_counts,MR:0.3 ID:C Mode:clustered_negative_means,MR:0.3 ID:C Mode:clustered_positive_counts,MR:0.3 ID:C Mode:clustered_positive_means,MR:0.3 ID:C Mode:clustered_polarization_index,MR:0.3 ID:C Mode:random_mean_opinions,MR:0.3 ID:C Mode:random_non_zealot_variance,MR:0.3 ID:C Mode:random_cluster_variance,MR:0.3 ID:C Mode:random_negative_counts,MR:0.3 ID:C Mode:random_negative_means,MR:0.3 ID:C Mode:random_positive_counts,MR:0.3 ID:C Mode:random_positive_means,MR:0.3 ID:C Mode:random_polarization_index,MR:0.3 ID:C Mode:high-degree_mean_opinions,MR:0.3 ID:C Mode:high-degree_non_zealot_variance,MR:0.3 ID:C Mode:high-degree_cluster_variance,MR:0.3 ID:C Mode:high-degree_negative_counts,MR:0.3 ID:C Mode:high-degree_negative_means,MR:0.3 ID:C Mode:high-degree_positive_counts,MR:0.3 ID:C Mode:high-degree_positive_means,MR:0.3 ID:C Mode:high-degree_polarization_index
0,0.0002,0.0035,0.0033,251.8000,-0.0512,248.2000,0.0523,0.0000,0.0398,0.0036,0.0034,240.3000,-0.0526,239.7000,0.0524,0.0000,0.0398,0.0036,0.0033,241.2000,-0.0521,238.8000,0.0523,0.0000,0.0396,0.0036,0.0034,240.6000,-0.0529,239.4000,0.0523,0.0000,0.0002,0.0035,0.0033,251.8000,-0.0512,248.2000,0.0523,0.0000,0.0398,0.0036,0.0034,240.3000,-0.0526,239.7000,0.0524,0.0000,0.0398,0.0036,0.0033,240.2000,-0.0524,239.8000,0.0522,0.0000,0.0396,0.0036,0.0034,240.6000,-0.0529,239.4000,0.0523,0.0000
1,0.0002,0.0031,0.0029,250.5000,-0.0484,249.5000,0.0489,0.0000,0.0409,0.0032,0.0030,237.3000,-0.0492,242.7000,0.0500,0.0000,0.0418,0.0032,0.0030,236.6000,-0.0482,243.4000,0.0504,0.0000,0.0445,0.0033,0.0030,227.7000,-0.0479,252.3000,0.0522,0.0000,-0.0001,0.0034,0.0031,251.3000,-0.0503,248.7000,0.0506,0.0000,0.0407,0.0036,0.0032,237.4000,-0.0515,242.6000,0.0519,0.0000,0.0413,0.0036,0.0032,235.2000,-0.0514,244.8000,0.0520,0.0000,0.0435,0.0036,0.0032,230.0000,-0.0505,250.0000,0.0535,0.0000
2,0.0002,0.0028,0.0026,250.8000,-0.0455,249.2000,0.0462,0.0000,0.0421,0.0030,0.0027,235.3000,-0.0460,244.7000,0.0485,0.0000,0.0437,0.0029,0.0027,230.2000,-0.0450,249.8000,0.0489,0.0000,0.0493,0.0032,0.0027,214.4000,-0.0443,265.6000,0.0533,0.0000,-0.0003,0.0038,0.0033,254.1000,-0.0519,245.9000,0.0530,0.0002,0.0419,0.0041,0.0034,235.9000,-0.0534,244.1000,0.0553,0.0070,0.0432,0.0041,0.0035,230.7000,-0.0534,249.3000,0.0557,0.0072,0.0475,0.0042,0.0034,218.8000,-0.0521,261.2000,0.0579,0.0046
3,0.0002,0.0025,0.0023,250.2000,-0.0430,249.8000,0.0435,0.0000,0.0432,0.0029,0.0024,231.9000,-0.0436,248.1000,0.0471,0.0000,0.0457,0.0028,0.0025,223.9000,-0.0423,256.1000,0.0480,0.0000,0.0539,0.0034,0.0026,202.3000,-0.0418,277.7000,0.0555,0.0000,-0.0009,0.0047,0.0038,253.9000,-0.0572,246.1000,0.0572,0.0021,0.0430,0.0052,0.0040,233.5000,-0.0586,246.5000,0.0614,0.0458,0.0451,0.0052,0.0041,226.8000,-0.0584,253.2000,0.0623,0.0405,0.0516,0.0053,0.0040,209.7000,-0.0567,270.3000,0.0653,0.0369
4,0.0003,0.0022,0.0020,250.2000,-0.0405,249.8000,0.0411,0.0000,0.0443,0.0028,0.0022,230.9000,-0.0410,249.1000,0.0466,0.0000,0.0477,0.0027,0.0023,218.1000,-0.0399,261.9000,0.0479,0.0000,0.0584,0.0036,0.0025,193.6000,-0.0396,286.4000,0.0588,0.0000,-0.0016,0.0061,0.0045,253.9000,-0.0646,246.1000,0.0634,0.0154,0.0441,0.0068,0.0049,232.9000,-0.0653,247.1000,0.0697,0.1079,0.0472,0.0067,0.0050,224.0000,-0.0647,256.0000,0.0707,0.1019,0.0557,0.0069,0.0048,204.5000,-0.0626,275.5000,0.0750,0.0828
5,0.0003,0.0020,0.0018,250.5000,-0.0382,249.5000,0.0389,0.0000,0.0454,0.0029,0.0021,228.9000,-0.0389,251.1000,0.0460,0.0000,0.0497,0.0028,0.0023,211.5000,-0.0381,268.5000,0.0480,0.0000,0.0627,0.0041,0.0025,183.3000,-0.0384,296.7000,0.0619,0.0000,-0.0021,0.0078,0.0055,256.3000,-0.0723,243.7000,0.0717,0.0688,0.0453,0.0087,0.0059,232.0000,-0.0731,248.0000,0.0790,0.2871,0.0494,0.0087,0.0061,221.3000,-0.0723,258.7000,0.0800,0.2615,0.0598,0.0088,0.0058,199.5000,-0.0699,280.5000,0.0851,0.2071
6,0.0003,0.0018,0.0016,250.4000,-0.0362,249.6000,0.0369,0.0000,0.0464,0.0030,0.0020,226.5000,-0.0370,253.5000,0.0456,0.0000,0.0517,0.0029,0.0022,206.7000,-0.0363,273.3000,0.0489,0.0000,0.0668,0.0046,0.0025,176.8000,-0.0371,303.2000,0.0660,0.0000,-0.0029,0.0098,0.0065,256.5000,-0.0814,243.5000,0.0799,0.1937,0.0465,0.0111,0.0071,229.7000,-0.0822,250.3000,0.0883,0.6304,0.0515,0.0109,0.0073,218.0000,-0.0811,262.0000,0.0894,0.5615,0.0638,0.0110,0.0070,194.7000,-0.0784,285.3000,0.0953,0.5120
7,0.0003,0.0016,0.0014,250.3000,-0.0343,249.7000,0.0351,0.0000,0.0475,0.0031,0.0019,225.1000,-0.0351,254.9000,0.0456,0.0000,0.0538,0.0030,0.0022,204.3000,-0.0343,275.7000,0.0503,0.0000,0.0709,0.0052,0.0025,175.5000,-0.0350,304.5000,0.0709,0.0000,-0.0035,0.0122,0.0078,257.7000,-0.0903,242.3000,0.0887,0.4218,0.0477,0.0137,0.0084,227.2000,-0.0915,252.8000,0.0975,1.0950,0.0537,0.0134,0.0087,214.8000,-0.0901,265.2000,0.0988,0.9854,0.0678,0.0135,0.0082,191.4000,-0.0868,288.6000,0.1059,0.9215
8,0.0004,0.0015,0.0013,250.4000,-0.0325,249.6000,0.0334,0.0000,0.0485,0.0033,0.0018,224.8000,-0.0332,255.2000,0.0458,0.0000,0.0558,0.0032,0.0023,201.2000,-0.0324,278.8000,0.0518,0.0000,0.0748,0.0059,0.0026,173.9000,-0.0330,306.1000,0.0756,0.0000,-0.0043,0.0147,0.0091,256.7000,-0.0997,243.3000,0.0964,0.7258,0.0490,0.0165,0.0099,226.8000,-0.0998,253.2000,0.1072,1.6243,0.0559,0.0162,0.0102,214.3000,-0.0978,265.7000,0.1089,1.5211,0.0718,0.0162,0.0096,189.8000,-0.0942,290.2000,0.1166,1.4197
9,0.0004,0.0013,0.0012,249.4000,-0.0310,250.6000,0.0317,0.0000,0.0496,0.0036,0.0018,224.0000,-0.0315,256.0000,0.0460,0.0000,0.0579,0.0035,0.0023,199.4000,-0.0305,280.6000,0.0535,0.0000,0.0786,0.0067,0.0027,172.0000,-0.0311,308.0000,0.0801,0.0000,-0.0049,0.0175,0.0104,257.9000,-0.1081,242.1000,0.1049,1.1066,0.0503,0.0195,0.0114,226.7000,-0.1078,253.3000,0.1167,2.2660,0.0581,0.0191,0.0118,212.9000,-0.1056,267.1000,0.1182,2.0893,0.0758,0.0190,0.0109,188.4000,-0.1013,291.6000,0.1270,2.0603
