step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0012,0.0497,0.0033,0.0032,249,-0.0488,251,0.0507,0.0000,0.0022,-0.0001,0.0022
1,0.0013,0.0468,0.0030,0.0028,246,-0.0463,254,0.0473,0.0000,0.0021,0.0001,0.0020
2,0.0014,0.0441,0.0026,0.0025,247,-0.0433,253,0.0449,0.0000,0.0021,0.0004,0.0017
3,0.0015,0.0417,0.0023,0.0022,248,-0.0405,252,0.0428,0.0000,0.0021,0.0007,0.0014
4,0.0016,0.0394,0.0021,0.0019,248,-0.0381,252,0.0407,0.0000,0.0021,0.0011,0.0010
5,0.0018,0.0373,0.0019,0.0017,248,-0.0358,252,0.0388,0.0000,0.0021,0.0015,0.0005
6,0.0021,0.0354,0.0017,0.0015,248,-0.0336,252,0.0372,0.0000,0.0021,0.0021,0.0000
7,0.0023,0.0337,0.0016,0.0014,245,-0.0320,255,0.0353,0.0000,0.0021,0.0027,-0.0006
8,0.0026,0.0321,0.0014,0.0012,244,-0.0302,256,0.0340,0.0000,0.0021,0.0033,-0.0012
9,0.0030,0.0307,0.0013,0.0011,241,-0.0288,259,0.0325,0.0000,0.0021,0.0041,-0.0020
10,0.0034,0.0295,0.0012,0.0010,239,-0.0273,261,0.0315,0.0000,0.0022,0.0050,-0.0028
11,0.0038,0.0284,0.0012,0.0009,235,-0.0262,265,0.0305,0.0000,0.0022,0.0060,-0.0038
12,0.0044,0.0275,0.0011,0.0009,230,-0.0252,270,0.0295,0.0000,0.0023,0.0071,-0.0048
13,0.0049,0.0268,0.0011,0.0008,227,-0.0241,273,0.0291,0.0000,0.0023,0.0083,-0.0060
14,0.0056,0.0263,0.0011,0.0007,221,-0.0235,279,0.0286,0.0000,0.0024,0.0097,-0.0073
15,0.0063,0.0260,0.0011,0.0007,217,-0.0227,283,0.0286,0.0000,0.0025,0.0113,-0.0088
16,0.0071,0.0259,0.0011,0.0006,214,-0.0220,286,0.0289,0.0000,0.0026,0.0131,-0.0105
17,0.0080,0.0260,0.0012,0.0006,209,-0.0215,291,0.0293,0.0000,0.0027,0.0151,-0.0124
18,0.0091,0.0263,0.0013,0.0006,207,-0.0208,293,0.0302,0.0000,0.0028,0.0173,-0.0144
19,0.0102,0.0268,0.0014,0.0006,204,-0.0203,296,0.0312,0.0000,0.0029,0.0197,-0.0167
20,0.0114,0.0274,0.0016,0.0006,200,-0.0200,300,0.0324,0.0000,0.0031,0.0224,-0.0193
21,0.0128,0.0282,0.0018,0.0006,200,-0.0192,300,0.0342,0.0000,0.0033,0.0253,-0.0221
22,0.0143,0.0291,0.0021,0.0006,196,-0.0189,304,0.0357,0.0000,0.0035,0.0286,-0.0251
23,0.0159,0.0303,0.0024,0.0006,196,-0.0183,304,0.0380,0.0000,0.0037,0.0321,-0.0284
24,0.0177,0.0315,0.0028,0.0007,194,-0.0178,306,0.0402,0.0000,0.0039,0.0359,-0.0320
25,0.0196,0.0329,0.0033,0.0007,193,-0.0173,307,0.0428,0.0000,0.0041,0.0399,-0.0358
26,0.0216,0.0345,0.0039,0.0007,192,-0.0168,308,0.0455,0.0000,0.0044,0.0442,-0.0398
27,0.0237,0.0362,0.0045,0.0008,188,-0.0165,312,0.0480,0.0000,0.0047,0.0487,-0.0441
28,0.0259,0.0380,0.0052,0.0008,185,-0.0163,315,0.0507,0.0000,0.0050,0.0535,-0.0485
