agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,0,0.1327,0.0529,0.0849,0.1378
1,1,0,0.0900,0.0359,0.0565,0.0924
2,1,0,0.6456,0.2582,0.5117,0.7699
3,1,0,0.2962,0.1178,0.2028,0.3207
4,1,0,0.2718,0.1087,0.1704,0.2791
5,1,0,0.0003,0.0001,0.0004,0.0004
6,-1,0,0.0688,0.0275,0.0420,0.0695
7,1,0,0.0127,0.0051,0.0083,0.0133
8,1,0,0.0029,0.0012,0.0020,0.0031
9,-1,0,0.5729,0.2292,0.4227,0.6519
10,-1,0,0.0217,0.0087,0.0132,0.0219
11,1,0,0.0151,0.0060,0.0102,0.0162
12,-1,0,0.0542,0.0217,0.0327,0.0544
13,1,0,0.3250,0.1299,0.2094,0.3393
14,-1,0,0.9221,0.3688,1.2350,1.6038
15,1,0,0.0033,0.0013,0.0027,0.0040
16,-1,0,0.0252,0.0101,0.0157,0.0258
17,1,0,-0.0000,-0.0000,-0.0000,-0.0000
18,1,0,0.0760,0.0304,0.0459,0.0763
19,1,0,0.0182,0.0072,0.0121,0.0194
20,1,0,0.1818,0.0725,0.1164,0.1889
21,-1,0,0.3553,0.1421,0.2296,0.3717
22,1,0,0.0335,0.0133,0.0222,0.0355
23,-1,0,0.7471,0.2988,0.6677,0.9665
24,-1,0,0.3694,0.1470,0.2611,0.4081
25,1,0,0.1019,0.0407,0.0627,0.1034
26,1,0,0.0263,0.0105,0.0170,0.0275
27,1,0,0.0041,0.0016,0.0028,0.0045
28,-1,0,0.2719,0.1087,0.1702,0.2789
29,1,0,-0.0001,-0.0001,-0.0001,-0.0001
30,1,0,0.0398,0.0159,0.0244,0.0403
31,1,0,0.0122,0.0048,0.0081,0.0129
32,1,0,0.0023,0.0009,0.0016,0.0025
33,-1,0,0.1533,0.0613,0.0943,0.1555
34,1,0,0.1228,0.0488,0.0835,0.1322
35,-1,0,0.1913,0.0762,0.1255,0.2017
36,-1,0,0.0451,0.0180,0.0276,0.0456
37,1,0,0.3141,0.1256,0.1999,0.3255
38,1,0,0.0664,0.0265,0.0405,0.0671
39,1,0,0.0083,0.0033,0.0056,0.0089
40,-1,0,0.1189,0.0475,0.0726,0.1201
41,-1,0,0.0730,0.0291,0.0462,0.0753
42,1,1,1.0000,0.4000,0.2760,0.6760
43,1,0,0.1241,0.0496,0.0768,0.1263
44,1,0,0.0021,0.0008,0.0015,0.0023
45,-1,0,0.7516,0.3007,0.6761,0.9768
46,1,1,1.0000,0.4000,0.3600,0.7600
47,-1,0,0.0543,0.0217,0.0331,0.0548
48,-1,0,0.1587,0.0631,0.1061,0.1691
49,1,0,0.0129,0.0051,0.0080,0.0131
50,1,0,0.5924,0.2370,0.4444,0.6814
51,-1,0,0.1868,0.0746,0.1159,0.1905
52,1,0,0.0904,0.0361,0.0548,0.0909
53,-1,0,0.1261,0.0504,0.0773,0.1277
54,-1,0,0.6115,0.2446,0.4684,0.7129
55,-1,0,0.0470,0.0188,0.0285,0.0473
56,-1,0,0.1934,0.0773,0.1187,0.1960
57,-1,0,0.0322,0.0128,0.0206,0.0335
58,-1,0,0.3945,0.1578,0.2602,0.4180
59,-1,0,0.6021,0.2408,0.4570,0.6977
60,1,1,1.0000,0.4000,0.1440,0.5440
61,-1,0,0.1028,0.0411,0.0632,0.1042
62,1,0,0.2134,0.0848,0.1447,0.2295
63,1,0,0.1033,0.0413,0.0633,0.1046
64,-1,0,0.0531,0.0212,0.0337,0.0549
65,-1,0,0.1824,0.0729,0.1123,0.1852
66,-1,0,0.0242,0.0097,0.0151,0.0247
67,-1,0,0.6675,0.2670,0.5393,0.8063
68,-1,0,0.0827,0.0331,0.0504,0.0834
69,-1,0,0.5617,0.2247,0.4106,0.6353
70,1,0,0.4039,0.1615,0.2682,0.4297
71,1,1,1.0000,0.4000,0.2160,0.6160
72,1,0,0.0017,0.0007,0.0011,0.0018
73,1,1,1.0000,0.4000,0.2160,0.6160
74,-1,0,0.2270,0.0908,0.1407,0.2315
75,1,0,-0.0001,-0.0000,-0.0000,-0.0000
76,-1,0,0.0084,0.0034,0.0053,0.0086
77,-1,0,0.1579,0.0631,0.0964,0.1596
78,-1,0,0.1201,0.0480,0.0733,0.1213
79,-1,0,0.1543,0.0613,0.1034,0.1647
80,1,0,-0.0001,-0.0000,-0.0000,-0.0001
81,-1,0,0.1231,0.0489,0.0812,0.1302
82,1,0,0.4656,0.1862,0.3195,0.5057
83,1,0,-0.0000,-0.0000,-0.0000,-0.0000
84,1,0,-0.0000,-0.0000,-0.0000,-0.0000
85,-1,0,0.4383,0.1753,0.2950,0.4704
86,1,1,1.0000,0.4000,0.2160,0.6160
87,-1,0,0.4902,0.1961,0.3403,0.5363
88,-1,0,0.4701,0.1880,0.3222,0.5102
89,-1,0,0.5418,0.2167,0.3900,0.6067
90,-1,0,0.6275,0.2510,0.4875,0.7385
91,1,0,0.0171,0.0068,0.0111,0.0179
92,1,1,1.0000,0.4000,0.2880,0.6880
93,-1,0,0.3613,0.1445,0.2340,0.3786
94,1,0,0.0015,0.0006,0.0010,0.0015
95,1,0,0.0064,0.0026,0.0042,0.0068
96,-1,0,0.0328,0.0130,0.0210,0.0340
97,-1,0,0.4897,0.1959,0.3398,0.5357
98,-1,0,0.3497,0.1399,0.2252,0.3651
99,1,1,1.0000,0.4000,0.2040,0.6040
100,-1,0,0.0269,0.0107,0.0163,0.0271
101,1,0,0.0092,0.0037,0.0061,0.0098
102,-1,0,0.1085,0.0431,0.0713,0.1145
103,1,0,0.0895,0.0357,0.0550,0.0907
104,-1,0,0.6147,0.2459,0.4716,0.7174
105,1,0,0.0376,0.0150,0.0242,0.0392
106,-1,0,0.4769,0.1907,0.3291,0.5198
107,-1,0,0.1978,0.0787,0.1313,0.2100
108,-1,0,0.4065,0.1626,0.2689,0.4315
109,1,0,0.3478,0.1390,0.2265,0.3655
110,-1,0,0.3426,0.1370,0.2200,0.3571
111,1,0,0.0014,0.0006,0.0009,0.0015
112,-1,0,0.2716,0.1086,0.1702,0.2788
113,1,0,0.0032,0.0013,0.0026,0.0039
114,1,0,0.0016,0.0006,0.0011,0.0017
115,1,0,0.0005,0.0002,0.0004,0.0006
116,1,0,0.2180,0.0872,0.1347,0.2218
117,-1,0,0.5326,0.2130,0.3821,0.5950
118,-1,0,0.4817,0.1927,0.3325,0.5252
119,-1,0,0.0737,0.0293,0.0493,0.0786
120,-1,0,0.0957,0.0381,0.0613,0.0994
121,-1,0,0.7355,0.2942,0.6465,0.9407
122,1,0,0.5010,0.2004,0.3503,0.5507
123,1,0,0.0465,0.0185,0.0304,0.0489
124,-1,0,0.4369,0.1747,0.2947,0.4694
125,-1,0,0.3298,0.1319,0.2111,0.3430
126,-1,0,0.0270,0.0107,0.0170,0.0278
127,-1,0,0.4964,0.1985,0.3467,0.5452
128,1,0,0.0215,0.0086,0.0133,0.0219
129,1,0,0.0031,0.0012,0.0022,0.0034
130,-1,0,0.0715,0.0286,0.0443,0.0729
131,-1,0,0.0963,0.0385,0.0585,0.0970
132,-1,0,0.5906,0.2362,0.4424,0.6787
133,1,0,-0.0001,-0.0000,-0.0001,-0.0001
134,1,0,0.3158,0.1259,0.2125,0.3384
135,1,0,0.5146,0.2058,0.3631,0.5690
136,1,0,0.0073,0.0029,0.0050,0.0079
137,1,0,0.0148,0.0058,0.0104,0.0162
138,-1,0,0.0732,0.0292,0.0459,0.0751
139,-1,0,0.0742,0.0296,0.0459,0.0756
140,-1,0,0.1025,0.0408,0.0652,0.1061
141,1,0,0.2478,0.0991,0.1543,0.2534
142,1,0,0.0273,0.0108,0.0195,0.0303
143,1,0,0.1516,0.0602,0.1035,0.1636
144,1,0,0.4044,0.1617,0.2686,0.4303
