step,with High-Degree Zealots_mean_opinion,with High-Degree Zealots_mean_abs_opinion,with High-Degree Zealots_non_zealot_variance,with High-Degree Zealots_cluster_variance,with High-Degree Zealots_negative_count,with High-Degree Zealots_negative_mean,with High-Degree Zealots_positive_count,with High-Degree Zealots_positive_mean,with High-Degree Zealots_polarization_index,with High-Degree Zealots_identity_1_mean_opinion,with High-Degree Zealots_identity_neg1_mean_opinion,with High-Degree Zealots_identity_opinion_difference
0,0.0396,0.0904,0.0036,0.0034,240.6,-0.0529,239.4,0.0523,0.0000,-0.0002,-0.0003,0.0001
1,0.0445,0.0881,0.0033,0.0030,227.7,-0.0479,252.3,0.0522,0.0000,0.0101,0.0003,0.0098
2,0.0493,0.0873,0.0032,0.0027,214.4,-0.0443,265.6,0.0533,0.0000,0.0201,0.0010,0.0191
3,0.0539,0.0878,0.0034,0.0026,202.3,-0.0418,277.7,0.0555,0.0000,0.0296,0.0017,0.0280
4,0.0584,0.0890,0.0036,0.0025,193.6,-0.0396,286.4,0.0588,0.0000,0.0388,0.0024,0.0365
5,0.0627,0.0908,0.0041,0.0025,183.3,-0.0384,296.7,0.0619,0.0000,0.0477,0.0031,0.0446
6,0.0668,0.0931,0.0046,0.0025,176.8,-0.0371,303.2,0.0660,0.0000,0.0562,0.0038,0.0524
7,0.0709,0.0955,0.0052,0.0025,175.5,-0.0350,304.5,0.0709,0.0000,0.0645,0.0045,0.0599
8,0.0748,0.0978,0.0059,0.0026,173.9,-0.0330,306.1,0.0756,0.0000,0.0724,0.0053,0.0671
9,0.0786,0.1000,0.0067,0.0027,172.0,-0.0311,308.0,0.0801,0.0000,0.0800,0.0061,0.0739
10,0.0823,0.1023,0.0075,0.0029,169.6,-0.0294,310.4,0.0842,0.0000,0.0873,0.0069,0.0804
11,0.0858,0.1045,0.0083,0.0030,166.0,-0.0280,314.0,0.0879,0.0000,0.0944,0.0077,0.0867
12,0.0893,0.1067,0.0092,0.0032,163.1,-0.0266,316.9,0.0915,0.0000,0.1012,0.0085,0.0926
13,0.0927,0.1089,0.0101,0.0033,160.1,-0.0252,319.9,0.0950,0.0000,0.1077,0.0094,0.0983
14,0.0959,0.1111,0.0109,0.0035,156.9,-0.0240,323.1,0.0983,0.0000,0.1141,0.0103,0.1038
15,0.0991,0.1132,0.0118,0.0037,154.1,-0.0228,325.9,0.1015,0.0000,0.1202,0.0112,0.1089
16,0.1022,0.1154,0.0127,0.0038,149.9,-0.0219,330.1,0.1043,0.0000,0.1260,0.0122,0.1139
17,0.1052,0.1176,0.0136,0.0040,145.4,-0.0211,334.6,0.1067,0.0000,0.1317,0.0131,0.1185
18,0.1082,0.1198,0.0144,0.0042,141.7,-0.0203,338.3,0.1094,0.0000,0.1371,0.0141,0.1230
19,0.1110,0.1219,0.0153,0.0043,137.3,-0.0197,342.7,0.1117,0.0000,0.1424,0.0151,0.1272
20,0.1138,0.1241,0.0161,0.0045,133.1,-0.0191,346.9,0.1138,0.0000,0.1474,0.0162,0.1312
21,0.1166,0.1262,0.0169,0.0047,130.0,-0.0185,350.0,0.1163,0.0000,0.1523,0.0173,0.1351
22,0.1192,0.1284,0.0177,0.0048,125.5,-0.0181,354.5,0.1182,0.0000,0.1570,0.0184,0.1387
23,0.1219,0.1305,0.0185,0.0050,121.9,-0.0176,358.1,0.1203,0.0000,0.1616,0.0195,0.1421
24,0.1244,0.1326,0.0192,0.0051,117.5,-0.0173,362.5,0.1221,0.0000,0.1660,0.0207,0.1453
25,0.1269,0.1347,0.0199,0.0052,115.3,-0.0167,364.7,0.1245,0.0000,0.1702,0.0219,0.1483
26,0.1294,0.1368,0.0207,0.0054,113.0,-0.0162,367.0,0.1268,0.0000,0.1743,0.0231,0.1512
27,0.1318,0.1389,0.0213,0.0055,109.5,-0.0160,370.5,0.1287,0.0000,0.1783,0.0244,0.1539
28,0.1342,0.1410,0.0220,0.0056,106.2,-0.0157,373.8,0.1305,0.0000,0.1821,0.0257,0.1564
29,0.1365,0.1430,0.0227,0.0057,104.0,-0.0153,376.0,0.1326,0.0000,0.1858,0.0270,0.1587
30,0.1388,0.1450,0.0233,0.0059,101.4,-0.0150,378.6,0.1345,0.0000,0.1893,0.0284,0.1610
31,0.1410,0.1470,0.0239,0.0060,99.6,-0.0146,380.4,0.1367,0.0000,0.1928,0.0297,0.1630
32,0.1432,0.1490,0.0245,0.0061,96.6,-0.0144,383.4,0.1383,0.0000,0.1961,0.0311,0.1649
33,0.1454,0.1509,0.0251,0.0062,93.8,-0.0142,386.2,0.1400,0.0000,0.1993,0.0326,0.1667
34,0.1475,0.1528,0.0256,0.0063,92.1,-0.0139,387.9,0.1419,0.0000,0.2024,0.0340,0.1684
35,0.1496,0.1547,0.0262,0.0064,89.6,-0.0136,390.4,0.1436,0.0000,0.2054,0.0355,0.1699
36,0.1517,0.1566,0.0267,0.0065,87.3,-0.0134,392.7,0.1453,0.0000,0.2083,0.0370,0.1713
37,0.1538,0.1585,0.0272,0.0066,85.4,-0.0131,394.6,0.1470,0.0000,0.2111,0.0386,0.1726
38,0.1558,0.1603,0.0277,0.0067,82.7,-0.0130,397.3,0.1485,0.0000,0.2138,0.0401,0.1737
39,0.1578,0.1622,0.0282,0.0067,80.2,-0.0129,399.8,0.1499,0.0000,0.2165,0.0417,0.1748
40,0.1598,0.1640,0.0286,0.0068,77.2,-0.0129,402.8,0.1511,0.0000,0.2190,0.0433,0.1757
41,0.1617,0.1658,0.0291,0.0069,75.5,-0.0127,404.5,0.1528,0.0000,0.2215,0.0450,0.1766
42,0.1636,0.1676,0.0295,0.0070,72.9,-0.0126,407.1,0.1540,0.0000,0.2239,0.0466,0.1773
43,0.1655,0.1694,0.0299,0.0071,71.4,-0.0124,408.6,0.1557,0.0000,0.2262,0.0483,0.1780
44,0.1674,0.1711,0.0303,0.0071,69.3,-0.0124,410.7,0.1571,0.0000,0.2285,0.0500,0.1785
45,0.1693,0.1729,0.0307,0.0072,67.6,-0.0123,412.4,0.1586,0.0000,0.2306,0.0517,0.1790
46,0.1711,0.1746,0.0311,0.0073,65.4,-0.0123,414.6,0.1600,0.0000,0.2328,0.0534,0.1794
47,0.1729,0.1763,0.0315,0.0074,63.4,-0.0123,416.6,0.1613,0.0000,0.2348,0.0551,0.1797
48,0.1747,0.1780,0.0319,0.0074,61.8,-0.0122,418.2,0.1627,0.0000,0.2368,0.0569,0.1799
49,0.1765,0.1797,0.0322,0.0075,60.5,-0.0121,419.5,0.1642,0.0000,0.2387,0.0587,0.1800
50,0.1783,0.1814,0.0325,0.0076,59.2,-0.0120,420.8,0.1658,0.0000,0.2406,0.0605,0.1801
51,0.1800,0.1831,0.0329,0.0076,58.0,-0.0119,422.0,0.1673,0.0000,0.2424,0.0623,0.1801
52,0.1818,0.1848,0.0332,0.0077,56.1,-0.0119,423.9,0.1685,0.0000,0.2442,0.0641,0.1801
53,0.1835,0.1864,0.0335,0.0078,54.4,-0.0120,425.6,0.1698,0.0000,0.2459,0.0660,0.1799
54,0.1852,0.1881,0.0338,0.0078,52.9,-0.0120,427.1,0.1712,0.0000,0.2476,0.0678,0.1797
55,0.1869,0.1897,0.0341,0.0079,51.6,-0.0120,428.4,0.1726,0.0000,0.2492,0.0697,0.1795
56,0.1886,0.1913,0.0344,0.0079,49.9,-0.0121,430.1,0.1738,0.0000,0.2507,0.0716,0.1792
57,0.1902,0.1929,0.0347,0.0080,49.0,-0.0120,431.0,0.1754,0.0000,0.2523,0.0735,0.1788
58,0.1919,0.1945,0.0349,0.0081,48.0,-0.0119,432.0,0.1768,0.0000,0.2538,0.0754,0.1784
59,0.1935,0.1961,0.0352,0.0081,46.9,-0.0119,433.1,0.1782,0.0000,0.2552,0.0773,0.1779
60,0.1952,0.1977,0.0355,0.0082,45.9,-0.0119,434.1,0.1797,0.0000,0.2566,0.0793,0.1774
61,0.1968,0.1993,0.0357,0.0083,44.2,-0.0120,435.8,0.1808,0.0000,0.2580,0.0812,0.1768
62,0.1984,0.2008,0.0360,0.0083,42.9,-0.0121,437.1,0.1821,0.0000,0.2593,0.0832,0.1762
63,0.2000,0.2024,0.0362,0.0084,42.0,-0.0120,438.0,0.1835,0.0000,0.2606,0.0851,0.1755
64,0.2016,0.2039,0.0364,0.0084,41.6,-0.0119,438.4,0.1851,0.0000,0.2619,0.0871,0.1748
65,0.2032,0.2055,0.0367,0.0085,40.8,-0.0118,439.2,0.1866,0.0000,0.2631,0.0891,0.1740
66,0.2048,0.2070,0.0369,0.0086,39.7,-0.0118,440.3,0.1879,0.0000,0.2643,0.0911,0.1732
67,0.2063,0.2085,0.0371,0.0086,38.5,-0.0118,441.5,0.1891,0.0000,0.2655,0.0931,0.1724
68,0.2079,0.2101,0.0373,0.0087,37.7,-0.0118,442.3,0.1905,0.0000,0.2666,0.0951,0.1715
69,0.2095,0.2116,0.0375,0.0087,36.8,-0.0118,443.2,0.1918,0.0000,0.2677,0.0971,0.1706
70,0.2110,0.2131,0.0378,0.0088,35.7,-0.0118,444.3,0.1931,0.0000,0.2688,0.0991,0.1697
71,0.2125,0.2146,0.0380,0.0089,34.8,-0.0119,445.2,0.1944,0.0000,0.2699,0.1012,0.1687
72,0.2140,0.2161,0.0382,0.0089,34.3,-0.0118,445.7,0.1959,0.0000,0.2709,0.1032,0.1677
73,0.2156,0.2176,0.0384,0.0090,34.0,-0.0118,446.0,0.1974,0.0000,0.2719,0.1052,0.1667
74,0.2171,0.2191,0.0385,0.0090,33.6,-0.0117,446.4,0.1990,0.0000,0.2729,0.1073,0.1656
75,0.2185,0.2205,0.0387,0.0091,33.2,-0.0117,446.8,0.2004,0.0000,0.2738,0.1093,0.1645
76,0.2200,0.2220,0.0389,0.0092,32.7,-0.0116,447.3,0.2019,0.0000,0.2748,0.1114,0.1634
77,0.2215,0.2234,0.0391,0.0092,32.2,-0.0117,447.8,0.2033,0.0000,0.2757,0.1134,0.1623
78,0.2230,0.2249,0.0393,0.0093,31.8,-0.0116,448.2,0.2047,0.0000,0.2766,0.1154,0.1611
79,0.2244,0.2263,0.0395,0.0093,31.6,-0.0114,448.4,0.2063,0.0000,0.2775,0.1175,0.1600
80,0.2259,0.2278,0.0396,0.0094,31.0,-0.0114,449.0,0.2076,0.0000,0.2783,0.1195,0.1588
81,0.2273,0.2292,0.0398,0.0095,30.5,-0.0114,449.5,0.2090,0.0000,0.2791,0.1216,0.1576
82,0.2288,0.2306,0.0400,0.0095,30.1,-0.0114,449.9,0.2104,0.0000,0.2800,0.1236,0.1563
83,0.2302,0.2320,0.0402,0.0096,29.8,-0.0113,450.2,0.2118,0.0000,0.2808,0.1257,0.1551
84,0.2316,0.2334,0.0403,0.0096,29.2,-0.0114,450.8,0.2131,0.0000,0.2815,0.1277,0.1538
85,0.2330,0.2348,0.0405,0.0097,28.9,-0.0113,451.1,0.2145,0.0000,0.2823,0.1297,0.1526
86,0.2344,0.2362,0.0407,0.0098,28.3,-0.0113,451.7,0.2158,0.0000,0.2830,0.1317,0.1513
87,0.2358,0.2375,0.0408,0.0098,28.0,-0.0112,452.0,0.2171,0.0000,0.2838,0.1338,0.1500
88,0.2371,0.2389,0.0410,0.0099,27.8,-0.0111,452.2,0.2186,0.0000,0.2845,0.1358,0.1487
89,0.2385,0.2403,0.0411,0.0099,27.6,-0.0110,452.4,0.2200,0.0000,0.2852,0.1378,0.1474
90,0.2398,0.2416,0.0413,0.0100,27.3,-0.0109,452.7,0.2213,0.0000,0.2859,0.1398,0.1461
91,0.2412,0.2429,0.0414,0.0100,26.6,-0.0113,453.4,0.2224,0.0000,0.2865,0.1418,0.1448
92,0.2425,0.2442,0.0416,0.0101,26.3,-0.0114,453.7,0.2238,0.0000,0.2872,0.1438,0.1434
93,0.2438,0.2456,0.0417,0.0102,26.2,-0.0113,453.8,0.2252,0.0000,0.2878,0.1457,0.1421
94,0.2451,0.2469,0.0419,0.0102,26.1,-0.0112,453.9,0.2266,0.0000,0.2885,0.1477,0.1408
95,0.2464,0.2482,0.0420,0.0103,25.8,-0.0111,454.2,0.2279,0.0000,0.2891,0.1496,0.1394
96,0.2477,0.2494,0.0422,0.0103,25.4,-0.0111,454.6,0.2291,0.0000,0.2897,0.1516,0.1381
97,0.2490,0.2507,0.0423,0.0104,25.2,-0.0111,454.8,0.2304,0.0000,0.2903,0.1535,0.1368
98,0.2502,0.2520,0.0425,0.0105,25.2,-0.0109,454.8,0.2318,0.0000,0.2909,0.1554,0.1354
99,0.2515,0.2532,0.0426,0.0105,25.0,-0.0109,455.0,0.2331,0.0000,0.2914,0.1573,0.1341
100,0.2527,0.2544,0.0428,0.0106,24.8,-0.0109,455.2,0.2343,0.0000,0.2920,0.1592,0.1328
101,0.2539,0.2557,0.0429,0.0106,24.7,-0.0108,455.3,0.2356,0.0000,0.2926,0.1611,0.1314
102,0.2551,0.2569,0.0430,0.0107,24.4,-0.0110,455.6,0.2368,0.0196,0.2931,0.1630,0.1301
103,0.2563,0.2581,0.0432,0.0107,24.4,-0.0109,455.6,0.2381,0.0197,0.2936,0.1648,0.1288
104,0.2575,0.2592,0.0433,0.0108,24.0,-0.0110,456.0,0.2392,0.0197,0.2941,0.1667,0.1275
105,0.2587,0.2604,0.0434,0.0108,24.0,-0.0109,456.0,0.2405,0.0198,0.2946,0.1685,0.1262
106,0.2598,0.2616,0.0436,0.0109,23.9,-0.0109,456.1,0.2417,0.0199,0.2951,0.1703,0.1249
107,0.2610,0.2627,0.0437,0.0109,24.0,-0.0108,456.0,0.2430,0.0199,0.2956,0.1721,0.1236
108,0.2621,0.2639,0.0438,0.0110,23.9,-0.0107,456.1,0.2442,0.0199,0.2961,0.1738,0.1223
109,0.2633,0.2650,0.0439,0.0111,23.8,-0.0107,456.2,0.2454,0.0199,0.2966,0.1756,0.1210
110,0.2644,0.2661,0.0441,0.0111,23.7,-0.0106,456.3,0.2466,0.0201,0.2971,0.1773,0.1197
111,0.2655,0.2672,0.0442,0.0112,23.7,-0.0105,456.3,0.2478,0.0202,0.2975,0.1791,0.1185
112,0.2665,0.2683,0.0443,0.0112,23.7,-0.0104,456.3,0.2490,0.0203,0.2980,0.1808,0.1172
113,0.2676,0.2694,0.0444,0.0113,23.5,-0.0105,456.5,0.2500,0.0204,0.2984,0.1824,0.1159
114,0.2687,0.2704,0.0445,0.0113,23.2,-0.0106,456.8,0.2510,0.0204,0.2988,0.1841,0.1147
115,0.2697,0.2715,0.0446,0.0114,23.1,-0.0105,456.9,0.2521,0.0205,0.2992,0.1858,0.1135
116,0.2708,0.2725,0.0447,0.0114,23.0,-0.0104,457.0,0.2532,0.0205,0.2997,0.1874,0.1123
117,0.2718,0.2735,0.0448,0.0114,22.9,-0.0104,457.1,0.2543,0.0205,0.3001,0.1890,0.1110
118,0.2728,0.2746,0.0449,0.0115,22.8,-0.0103,457.2,0.2553,0.0205,0.3005,0.1906,0.1098
119,0.2738,0.2756,0.0450,0.0115,22.5,-0.0103,457.5,0.2563,0.0205,0.3009,0.1922,0.1087
120,0.2748,0.2766,0.0451,0.0116,22.3,-0.0106,457.7,0.2572,0.0205,0.3013,0.1938,0.1075
121,0.2757,0.2775,0.0452,0.0116,22.2,-0.0105,457.8,0.2582,0.0205,0.3016,0.1953,0.1063
122,0.2767,0.2785,0.0453,0.0117,22.1,-0.0105,457.9,0.2592,0.0205,0.3020,0.1968,0.1052
123,0.2777,0.2794,0.0454,0.0117,22.2,-0.0104,457.8,0.2603,0.0206,0.3024,0.1984,0.1040
124,0.2786,0.2804,0.0455,0.0118,21.7,-0.0107,458.3,0.2611,0.0206,0.3027,0.1999,0.1029
125,0.2795,0.2813,0.0456,0.0118,21.6,-0.0107,458.4,0.2620,0.0208,0.3031,0.2013,0.1018
