step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0435,0.0906,0.0037,0.0034,219,-0.0538,261,0.0518,0.0000,0.0039,0.0034,0.0004
1,0.0489,0.0886,0.0033,0.0030,205,-0.0484,275,0.0522,0.0000,0.0164,0.0042,0.0122
2,0.0541,0.0877,0.0032,0.0028,195,-0.0431,285,0.0543,0.0000,0.0284,0.0049,0.0235
3,0.0592,0.0882,0.0033,0.0026,183,-0.0397,297,0.0568,0.0000,0.0400,0.0057,0.0343
4,0.0641,0.0900,0.0036,0.0025,175,-0.0369,305,0.0607,0.0000,0.0512,0.0065,0.0446
5,0.0689,0.0922,0.0041,0.0025,164,-0.0355,316,0.0641,0.0000,0.0619,0.0073,0.0546
6,0.0735,0.0949,0.0047,0.0025,154,-0.0348,326,0.0678,0.0000,0.0722,0.0082,0.0640
7,0.0779,0.0978,0.0053,0.0026,149,-0.0334,331,0.0723,0.0000,0.0822,0.0091,0.0731
8,0.0823,0.1007,0.0061,0.0027,149,-0.0309,331,0.0778,0.0000,0.0917,0.0100,0.0818
9,0.0865,0.1036,0.0070,0.0029,147,-0.0291,333,0.0826,0.0000,0.1010,0.0109,0.0901
10,0.0906,0.1063,0.0078,0.0030,147,-0.0269,333,0.0878,0.0000,0.1098,0.0118,0.0980
11,0.0945,0.1091,0.0088,0.0032,140,-0.0260,340,0.0909,0.0000,0.1183,0.0128,0.1055
12,0.0983,0.1118,0.0097,0.0033,133,-0.0253,347,0.0938,0.0000,0.1266,0.0138,0.1128
13,0.1021,0.1145,0.0107,0.0035,133,-0.0234,347,0.0984,0.0000,0.1345,0.0148,0.1196
14,0.1057,0.1172,0.0117,0.0037,131,-0.0219,349,0.1023,0.0000,0.1421,0.0158,0.1262
15,0.1092,0.1197,0.0126,0.0039,128,-0.0206,352,0.1058,0.0000,0.1494,0.0169,0.1325
16,0.1126,0.1223,0.0136,0.0040,121,-0.0200,359,0.1079,0.0000,0.1564,0.0180,0.1384
17,0.1159,0.1248,0.0146,0.0042,118,-0.0189,362,0.1110,0.0000,0.1632,0.0190,0.1441
18,0.1192,0.1274,0.0156,0.0044,114,-0.0180,366,0.1137,0.0000,0.1697,0.0202,0.1495
19,0.1223,0.1298,0.0165,0.0045,112,-0.0168,368,0.1169,0.0000,0.1760,0.0213,0.1547
20,0.1254,0.1322,0.0174,0.0047,110,-0.0156,370,0.1200,0.0000,0.1820,0.0224,0.1596
21,0.1283,0.1346,0.0183,0.0048,107,-0.0146,373,0.1226,0.0000,0.1878,0.0236,0.1642
22,0.1312,0.1369,0.0192,0.0050,104,-0.0137,376,0.1251,0.0000,0.1934,0.0248,0.1686
23,0.1341,0.1393,0.0201,0.0051,99,-0.0131,381,0.1269,0.0000,0.1988,0.0260,0.1727
24,0.1368,0.1416,0.0209,0.0052,93,-0.0128,387,0.1282,0.0000,0.2039,0.0273,0.1767
25,0.1395,0.1439,0.0217,0.0054,90,-0.0121,390,0.1304,0.0000,0.2089,0.0285,0.1804
26,0.1422,0.1461,0.0225,0.0055,85,-0.0117,395,0.1318,0.0000,0.2137,0.0298,0.1839
27,0.1447,0.1484,0.0233,0.0056,80,-0.0113,400,0.1332,0.0000,0.2183,0.0311,0.1872
28,0.1472,0.1506,0.0240,0.0057,75,-0.0111,405,0.1345,0.0000,0.2227,0.0324,0.1903
29,0.1497,0.1528,0.0247,0.0058,69,-0.0111,411,0.1353,0.0000,0.2270,0.0338,0.1932
30,0.1521,0.1549,0.0254,0.0059,66,-0.0106,414,0.1371,0.0000,0.2311,0.0351,0.1960
31,0.1545,0.1570,0.0260,0.0060,65,-0.0099,415,0.1395,0.0000,0.2351,0.0365,0.1986
32,0.1568,0.1592,0.0267,0.0061,58,-0.0102,422,0.1398,0.0000,0.2389,0.0379,0.2009
33,0.1591,0.1612,0.0273,0.0062,56,-0.0097,424,0.1417,0.0000,0.2425,0.0394,0.2032
34,0.1613,0.1633,0.0278,0.0062,54,-0.0093,426,0.1435,0.0000,0.2461,0.0408,0.2052
35,0.1635,0.1653,0.0284,0.0063,51,-0.0090,429,0.1450,0.0000,0.2495,0.0423,0.2072
36,0.1656,0.1673,0.0289,0.0064,50,-0.0084,430,0.1471,0.0000,0.2527,0.0438,0.2089
37,0.1678,0.1693,0.0294,0.0065,48,-0.0080,432,0.1488,0.0000,0.2559,0.0454,0.2105
38,0.1698,0.1713,0.0299,0.0065,43,-0.0082,437,0.1494,0.0000,0.2589,0.0469,0.2120
39,0.1719,0.1732,0.0303,0.0066,43,-0.0075,437,0.1517,0.0000,0.2618,0.0485,0.2133
40,0.1739,0.1751,0.0308,0.0067,40,-0.0073,440,0.1529,0.0000,0.2647,0.0501,0.2145
41,0.1759,0.1770,0.0312,0.0067,38,-0.0070,442,0.1544,0.0000,0.2674,0.0518,0.2156
42,0.1779,0.1789,0.0316,0.0068,33,-0.0074,447,0.1548,0.0000,0.2700,0.0534,0.2166
43,0.1799,0.1808,0.0319,0.0069,33,-0.0067,447,0.1570,0.0000,0.2725,0.0551,0.2174
44,0.1818,0.1826,0.0323,0.0069,32,-0.0063,448,0.1587,0.0000,0.2749,0.0569,0.2181
45,0.1837,0.1845,0.0326,0.0070,29,-0.0063,451,0.1598,0.0000,0.2773,0.0586,0.2187
