agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,1,1.0000,0.4000,0.4320,0.8320
1,-1,0,0.5861,0.2343,0.4406,0.6749
2,-1,0,0.3744,0.1497,0.2464,0.3960
3,-1,0,0.1496,0.0597,0.0932,0.1529
4,-1,0,0.4178,0.1669,0.2843,0.4512
5,1,0,0.4301,0.1720,0.2880,0.4600
6,-1,0,0.1530,0.0611,0.0965,0.1576
7,1,0,0.5691,0.2276,0.4190,0.6466
8,1,0,0.4046,0.1618,0.2673,0.4291
9,-1,0,0.7837,0.3135,0.7414,1.0548
10,-1,0,0.0527,0.0210,0.0332,0.0542
11,1,0,0.7185,0.2874,0.6171,0.9045
12,1,1,1.0000,0.4000,0.4320,0.8320
13,-1,0,0.5308,0.2123,0.3795,0.5918
14,-1,0,0.5508,0.2202,0.4011,0.6214
15,1,0,0.4698,0.1879,0.3228,0.5107
16,1,0,0.1909,0.0764,0.1169,0.1933
17,1,0,0.3868,0.1547,0.2534,0.4081
18,1,1,1.0000,0.4000,0.4320,0.8320
19,-1,0,0.6062,0.2425,0.4606,0.7031
20,-1,0,0.3750,0.1497,0.2527,0.4024
21,1,0,0.3712,0.1485,0.2414,0.3899
22,-1,0,0.1601,0.0640,0.0997,0.1637
23,-1,0,0.0379,0.0151,0.0235,0.0387
24,-1,0,0.5493,0.2197,0.3981,0.6178
25,-1,0,0.1828,0.0731,0.1126,0.1857
26,1,0,0.0059,0.0024,0.0037,0.0060
27,-1,0,0.1502,0.0599,0.0957,0.1556
28,1,0,0.0795,0.0318,0.0479,0.0797
29,-1,0,0.2835,0.1133,0.1819,0.2952
30,1,0,0.5403,0.2161,0.3885,0.6046
31,1,1,1.0000,0.4000,0.5040,0.9040
32,1,0,0.4325,0.1730,0.2909,0.4638
33,-1,0,0.0537,0.0214,0.0335,0.0549
34,-1,0,0.3908,0.1561,0.2617,0.4179
35,-1,0,0.3495,0.1396,0.2289,0.3686
36,1,0,0.4821,0.1928,0.3329,0.5258
37,-1,0,0.6458,0.2582,0.5144,0.7726
38,-1,0,0.0433,0.0173,0.0274,0.0447
39,1,0,0.5266,0.2107,0.3748,0.5855
40,-1,0,0.5471,0.2188,0.3954,0.6143
41,-1,0,0.1433,0.0573,0.0878,0.1451
42,1,0,0.6177,0.2471,0.4742,0.7213
43,-1,0,0.3192,0.1275,0.2075,0.3350
44,1,0,0.3433,0.1373,0.2211,0.3584
45,1,0,0.2821,0.1128,0.1771,0.2900
46,1,0,0.1662,0.0665,0.1016,0.1680
47,-1,0,0.0667,0.0266,0.0430,0.0696
48,-1,0,0.3779,0.1510,0.2498,0.4008
49,-1,0,0.1569,0.0627,0.0973,0.1600
50,-1,0,0.6257,0.2503,0.4840,0.7343
51,-1,0,0.0600,0.0239,0.0372,0.0612
52,1,0,0.1857,0.0743,0.1137,0.1879
53,1,0,0.3903,0.1561,0.2561,0.4122
54,1,0,0.1000,0.0400,0.0604,0.1004
55,1,1,1.0000,0.4000,0.4320,0.8320
56,1,0,0.3319,0.1328,0.2124,0.3452
57,1,0,0.6219,0.2488,0.4794,0.7282
58,-1,0,0.5051,0.2020,0.3563,0.5582
59,1,0,0.6029,0.2412,0.4566,0.6977
60,-1,0,0.0548,0.0218,0.0349,0.0567
61,1,0,0.0326,0.0130,0.0196,0.0327
62,1,1,1.0000,0.4000,0.6480,1.0480
63,-1,0,0.3875,0.1548,0.2603,0.4151
64,-1,0,0.5498,0.2197,0.4068,0.6265
65,-1,0,0.1891,0.0755,0.1184,0.1939
66,1,0,0.0700,0.0280,0.0432,0.0711
67,-1,0,0.0222,0.0088,0.0139,0.0228
68,-1,0,0.6721,0.2686,0.5546,0.8232
69,1,0,0.5092,0.2037,0.3581,0.5618
70,-1,0,0.5156,0.2063,0.3641,0.5704
71,1,0,0.3836,0.1534,0.2509,0.4043
72,-1,0,0.5926,0.2370,0.4460,0.6830
73,-1,0,0.2065,0.0824,0.1322,0.2146
74,1,0,0.3686,0.1474,0.2395,0.3869
75,-1,0,0.2598,0.1039,0.1634,0.2673
76,-1,0,0.2325,0.0928,0.1481,0.2409
77,-1,0,0.2703,0.1080,0.1730,0.2810
78,-1,0,0.4441,0.1776,0.3023,0.4798
79,1,0,0.4550,0.1820,0.3091,0.4911
80,1,0,0.3378,0.1351,0.2165,0.3516
81,1,0,0.2328,0.0931,0.1440,0.2371
82,1,0,0.1305,0.0522,0.0790,0.1312
83,1,0,0.0074,0.0030,0.0046,0.0076
84,-1,0,0.4763,0.1904,0.3321,0.5225
85,1,0,0.0503,0.0201,0.0302,0.0504
86,1,0,0.0861,0.0344,0.0524,0.0869
87,-1,0,0.0865,0.0346,0.0526,0.0872
88,1,0,0.1841,0.0736,0.1130,0.1866
89,-1,0,0.3506,0.1400,0.2325,0.3725
90,-1,0,0.3496,0.1398,0.2255,0.3654
91,1,0,0.5920,0.2368,0.4443,0.6811
92,-1,0,0.1913,0.0763,0.1223,0.1985
93,-1,0,0.3281,0.1310,0.2156,0.3466
94,-1,0,0.6934,0.2773,0.5771,0.8544
95,-1,0,0.3529,0.1411,0.2282,0.3694
96,-1,0,0.2875,0.1150,0.1811,0.2961
97,-1,0,0.0417,0.0167,0.0258,0.0424
98,-1,0,0.3435,0.1374,0.2207,0.3581
99,1,0,0.2838,0.1135,0.1785,0.2920
100,-1,0,0.2259,0.0903,0.1411,0.2314
101,1,0,0.1760,0.0704,0.1076,0.1780
102,-1,0,0.0897,0.0357,0.0575,0.0932
103,-1,0,0.6195,0.2478,0.4764,0.7242
104,1,0,0.5328,0.2131,0.3810,0.5941
105,1,0,0.2328,0.0931,0.1440,0.2371
106,-1,0,0.0067,0.0027,0.0043,0.0070
107,-1,0,0.3420,0.1367,0.2231,0.3598
108,-1,0,0.5509,0.2203,0.3993,0.6196
109,1,0,0.1505,0.0602,0.0915,0.1517
110,-1,0,0.3112,0.1244,0.2001,0.3245
111,1,1,1.0000,0.4000,2.4120,2.8120
112,-1,0,0.2684,0.1072,0.1716,0.2788
113,-1,0,0.4282,0.1713,0.2864,0.4577
114,-1,0,0.2081,0.0830,0.1328,0.2158
115,-1,0,0.2012,0.0803,0.1274,0.2078
116,-1,0,0.4558,0.1822,0.3131,0.4953
117,-1,0,0.0183,0.0073,0.0115,0.0188
118,1,0,0.2565,0.1026,0.1600,0.2626
119,-1,0,0.2234,0.0892,0.1402,0.2295
120,-1,0,0.2997,0.1198,0.1914,0.3112
121,1,0,0.0405,0.0162,0.0247,0.0408
122,-1,0,0.4310,0.1724,0.2902,0.4626
123,-1,0,0.2964,0.1185,0.1881,0.3066
124,-1,0,0.0848,0.0338,0.0548,0.0885
125,-1,0,0.2821,0.1128,0.1794,0.2922
126,1,0,0.1802,0.0721,0.1106,0.1827
