step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_8,community_9,community_13,community_14,community_19,community_21,community_29,community_34,community_36,community_40,community_42,community_46,community_53,community_61,community_63,community_91
0,0.0021,0.0035,0.0045,0.0043,0.0034,0.0037,0.0040,0.0034,0.0029,0.0019,0.0041,0.0027,0.0039,0.0026,0.0035,0.0032,0.0033,0.0040,0.0040,0.0029,0.0044,0.0031,0.0041
1,0.0017,0.0031,0.0039,0.0036,0.0029,0.0032,0.0035,0.0032,0.0024,0.0020,0.0036,0.0024,0.0035,0.0024,0.0033,0.0028,0.0030,0.0035,0.0036,0.0024,0.0041,0.0028,0.0036
2,0.0015,0.0027,0.0035,0.0031,0.0025,0.0028,0.0030,0.0029,0.0021,0.0023,0.0033,0.0021,0.0032,0.0022,0.0031,0.0025,0.0028,0.0031,0.0033,0.0021,0.0039,0.0028,0.0032
3,0.0013,0.0023,0.0032,0.0028,0.0023,0.0024,0.0026,0.0027,0.0018,0.0026,0.0030,0.0019,0.0028,0.0021,0.0030,0.0023,0.0027,0.0028,0.0031,0.0019,0.0037,0.0032,0.0029
4,0.0011,0.0020,0.0030,0.0026,0.0021,0.0021,0.0023,0.0026,0.0016,0.0030,0.0028,0.0017,0.0026,0.0020,0.0030,0.0021,0.0028,0.0025,0.0029,0.0018,0.0035,0.0038,0.0027
5,0.0010,0.0018,0.0029,0.0025,0.0019,0.0018,0.0021,0.0024,0.0015,0.0035,0.0026,0.0016,0.0023,0.0020,0.0031,0.0019,0.0029,0.0023,0.0027,0.0018,0.0034,0.0046,0.0026
6,0.0009,0.0016,0.0029,0.0024,0.0018,0.0016,0.0019,0.0023,0.0014,0.0040,0.0025,0.0015,0.0021,0.0019,0.0031,0.0018,0.0031,0.0022,0.0026,0.0018,0.0033,0.0056,0.0026
7,0.0008,0.0014,0.0029,0.0025,0.0018,0.0014,0.0017,0.0022,0.0013,0.0045,0.0025,0.0014,0.0019,0.0019,0.0033,0.0017,0.0033,0.0020,0.0025,0.0018,0.0032,0.0066,0.0026
8,0.0007,0.0012,0.0030,0.0025,0.0018,0.0012,0.0016,0.0021,0.0013,0.0050,0.0025,0.0013,0.0017,0.0019,0.0034,0.0017,0.0036,0.0020,0.0024,0.0019,0.0032,0.0077,0.0027
9,0.0007,0.0011,0.0031,0.0026,0.0018,0.0010,0.0014,0.0021,0.0013,0.0055,0.0025,0.0012,0.0016,0.0019,0.0036,0.0016,0.0039,0.0019,0.0023,0.0019,0.0031,0.0088,0.0028
10,0.0007,0.0010,0.0032,0.0028,0.0018,0.0009,0.0014,0.0020,0.0014,0.0061,0.0026,0.0012,0.0015,0.0019,0.0039,0.0016,0.0042,0.0018,0.0023,0.0020,0.0031,0.0100,0.0030
11,0.0007,0.0009,0.0034,0.0030,0.0019,0.0008,0.0013,0.0020,0.0014,0.0066,0.0026,0.0012,0.0013,0.0019,0.0041,0.0016,0.0045,0.0018,0.0022,0.0021,0.0031,0.0111,0.0032
12,0.0007,0.0008,0.0035,0.0032,0.0019,0.0007,0.0012,0.0019,0.0015,0.0071,0.0027,0.0011,0.0012,0.0019,0.0044,0.0016,0.0049,0.0018,0.0022,0.0022,0.0031,0.0122,0.0034
13,0.0007,0.0007,0.0037,0.0034,0.0020,0.0006,0.0012,0.0019,0.0016,0.0076,0.0028,0.0011,0.0011,0.0019,0.0046,0.0016,0.0052,0.0018,0.0022,0.0022,0.0031,0.0133,0.0037
14,0.0008,0.0006,0.0039,0.0036,0.0021,0.0005,0.0012,0.0019,0.0017,0.0081,0.0030,0.0011,0.0010,0.0020,0.0049,0.0016,0.0056,0.0018,0.0022,0.0023,0.0031,0.0144,0.0040
15,0.0008,0.0006,0.0041,0.0039,0.0022,0.0005,0.0012,0.0019,0.0018,0.0086,0.0031,0.0011,0.0009,0.0020,0.0052,0.0017,0.0060,0.0018,0.0022,0.0024,0.0032,0.0154,0.0043
