step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_9,community_10,community_12,community_13,community_14,community_15,community_16,community_17,community_19,community_23,community_31,community_34,community_35,community_39,community_41,community_45,community_48,community_49,community_51,community_52,community_53,community_60,community_61,community_66,community_76,community_81,community_82
0,0.0033,0.0032,0.0041,0.0037,0.0032,0.0014,0.0040,0.0026,0.0032,0.0033,0.0030,0.0020,0.0045,0.0044,0.0046,0.0020,0.0048,0.0019,0.0034,0.0030,0.0030,0.0032,0.0028,0.0024,0.0042,0.0028,0.0042,0.0037,0.0025,0.0035,0.0030,0.0047,0.0028,0.0037,0.0029
1,0.0031,0.0028,0.0037,0.0033,0.0027,0.0012,0.0036,0.0023,0.0028,0.0030,0.0027,0.0019,0.0039,0.0039,0.0040,0.0020,0.0043,0.0016,0.0029,0.0028,0.0029,0.0031,0.0024,0.0020,0.0035,0.0025,0.0036,0.0033,0.0022,0.0030,0.0027,0.0043,0.0024,0.0034,0.0026
2,0.0030,0.0025,0.0034,0.0030,0.0024,0.0012,0.0032,0.0022,0.0024,0.0028,0.0024,0.0021,0.0035,0.0035,0.0035,0.0022,0.0038,0.0014,0.0025,0.0027,0.0029,0.0031,0.0021,0.0017,0.0029,0.0023,0.0031,0.0029,0.0020,0.0026,0.0024,0.0039,0.0020,0.0032,0.0023
3,0.0030,0.0022,0.0031,0.0028,0.0021,0.0015,0.0029,0.0022,0.0021,0.0027,0.0022,0.0025,0.0033,0.0032,0.0030,0.0023,0.0034,0.0012,0.0021,0.0027,0.0030,0.0032,0.0019,0.0015,0.0025,0.0021,0.0027,0.0027,0.0018,0.0022,0.0022,0.0036,0.0018,0.0033,0.0021
4,0.0029,0.0020,0.0029,0.0026,0.0019,0.0020,0.0026,0.0023,0.0019,0.0027,0.0020,0.0030,0.0032,0.0029,0.0026,0.0026,0.0031,0.0011,0.0018,0.0029,0.0032,0.0034,0.0018,0.0013,0.0022,0.0020,0.0023,0.0025,0.0016,0.0019,0.0021,0.0034,0.0016,0.0034,0.0020
5,0.0029,0.0018,0.0026,0.0024,0.0018,0.0026,0.0023,0.0025,0.0017,0.0028,0.0018,0.0036,0.0032,0.0026,0.0023,0.0029,0.0028,0.0009,0.0016,0.0031,0.0035,0.0036,0.0018,0.0012,0.0019,0.0019,0.0020,0.0024,0.0015,0.0016,0.0019,0.0032,0.0014,0.0037,0.0019
6,0.0029,0.0017,0.0024,0.0023,0.0017,0.0033,0.0021,0.0027,0.0016,0.0030,0.0017,0.0043,0.0032,0.0023,0.0020,0.0032,0.0026,0.0009,0.0015,0.0034,0.0040,0.0039,0.0019,0.0010,0.0017,0.0018,0.0017,0.0023,0.0014,0.0014,0.0018,0.0031,0.0013,0.0040,0.0019
7,0.0029,0.0016,0.0022,0.0022,0.0017,0.0040,0.0018,0.0030,0.0014,0.0032,0.0016,0.0051,0.0034,0.0021,0.0018,0.0036,0.0025,0.0008,0.0013,0.0038,0.0044,0.0042,0.0020,0.0009,0.0015,0.0018,0.0015,0.0023,0.0014,0.0012,0.0018,0.0030,0.0012,0.0044,0.0018
8,0.0029,0.0016,0.0021,0.0021,0.0017,0.0047,0.0016,0.0033,0.0013,0.0034,0.0015,0.0059,0.0035,0.0019,0.0015,0.0040,0.0023,0.0008,0.0012,0.0042,0.0050,0.0045,0.0021,0.0008,0.0014,0.0018,0.0013,0.0023,0.0013,0.0010,0.0018,0.0029,0.0012,0.0049,0.0018
9,0.0029,0.0015,0.0019,0.0021,0.0017,0.0054,0.0015,0.0037,0.0013,0.0037,0.0014,0.0068,0.0038,0.0018,0.0013,0.0043,0.0022,0.0008,0.0012,0.0046,0.0055,0.0049,0.0023,0.0008,0.0014,0.0018,0.0011,0.0024,0.0013,0.0009,0.0017,0.0029,0.0011,0.0053,0.0019
