step,community_0,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_10,community_11,community_12,community_20,community_21,community_23,community_32,community_37,community_38,community_57
0,0.0036,0.0030,0.0039,0.0035,0.0023,0.0035,0.0049,0.0031,0.0026,0.0041,0.0032,0.0026,0.0034,0.0031,0.0033,0.0035,0.0033,0.0046,0.0027
1,0.0031,0.0026,0.0035,0.0031,0.0022,0.0032,0.0043,0.0027,0.0024,0.0035,0.0029,0.0027,0.0030,0.0029,0.0031,0.0031,0.0030,0.0043,0.0024
2,0.0027,0.0023,0.0031,0.0027,0.0022,0.0029,0.0039,0.0024,0.0023,0.0030,0.0026,0.0028,0.0027,0.0029,0.0033,0.0027,0.0028,0.0039,0.0021
3,0.0025,0.0021,0.0028,0.0025,0.0023,0.0027,0.0035,0.0021,0.0021,0.0026,0.0025,0.0030,0.0024,0.0030,0.0039,0.0024,0.0026,0.0037,0.0018
4,0.0024,0.0019,0.0026,0.0022,0.0025,0.0025,0.0032,0.0019,0.0021,0.0022,0.0023,0.0033,0.0022,0.0033,0.0046,0.0021,0.0025,0.0034,0.0016
5,0.0024,0.0018,0.0024,0.0021,0.0027,0.0023,0.0030,0.0018,0.0020,0.0019,0.0022,0.0036,0.0021,0.0036,0.0056,0.0019,0.0024,0.0032,0.0014
6,0.0024,0.0018,0.0022,0.0019,0.0029,0.0022,0.0028,0.0016,0.0020,0.0017,0.0022,0.0040,0.0020,0.0039,0.0067,0.0016,0.0023,0.0030,0.0012
7,0.0025,0.0017,0.0021,0.0018,0.0032,0.0021,0.0027,0.0015,0.0020,0.0015,0.0021,0.0044,0.0019,0.0043,0.0078,0.0015,0.0022,0.0029,0.0010
8,0.0026,0.0017,0.0020,0.0017,0.0035,0.0020,0.0026,0.0015,0.0020,0.0013,0.0021,0.0048,0.0019,0.0047,0.0090,0.0013,0.0021,0.0027,0.0009
9,0.0028,0.0018,0.0019,0.0017,0.0039,0.0019,0.0025,0.0014,0.0021,0.0011,0.0021,0.0052,0.0018,0.0051,0.0102,0.0012,0.0021,0.0026,0.0008
10,0.0030,0.0018,0.0019,0.0016,0.0042,0.0018,0.0025,0.0014,0.0021,0.0010,0.0020,0.0057,0.0018,0.0055,0.0114,0.0010,0.0021,0.0025,0.0007
11,0.0033,0.0019,0.0018,0.0016,0.0046,0.0018,0.0025,0.0014,0.0022,0.0009,0.0021,0.0061,0.0018,0.0059,0.0125,0.0009,0.0021,0.0025,0.0006
12,0.0035,0.0019,0.0018,0.0016,0.0050,0.0017,0.0025,0.0015,0.0023,0.0008,0.0021,0.0065,0.0019,0.0062,0.0137,0.0008,0.0021,0.0024,0.0005
13,0.0038,0.0020,0.0018,0.0016,0.0053,0.0017,0.0025,0.0015,0.0024,0.0007,0.0021,0.0070,0.0019,0.0065,0.0147,0.0008,0.0021,0.0023,0.0005
14,0.0041,0.0021,0.0018,0.0016,0.0057,0.0017,0.0026,0.0015,0.0025,0.0006,0.0021,0.0074,0.0019,0.0068,0.0157,0.0007,0.0021,0.0023,0.0004
15,0.0043,0.0022,0.0019,0.0017,0.0061,0.0016,0.0026,0.0016,0.0026,0.0006,0.0021,0.0078,0.0020,0.0071,0.0167,0.0006,0.0021,0.0023,0.0004
16,0.0046,0.0023,0.0019,0.0017,0.0065,0.0016,0.0027,0.0017,0.0027,0.0005,0.0022,0.0082,0.0020,0.0073,0.0175,0.0006,0.0022,0.0022,0.0003
17,0.0049,0.0024,0.0019,0.0017,0.0068,0.0016,0.0027,0.0018,0.0028,0.0005,0.0022,0.0086,0.0020,0.0076,0.0184,0.0005,0.0022,0.0022,0.0003
18,0.0052,0.0025,0.0020,0.0018,0.0072,0.0016,0.0028,0.0018,0.0030,0.0004,0.0022,0.0090,0.0021,0.0078,0.0191,0.0005,0.0022,0.0022,0.0003
