step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0403,0.0897,0.0035,0.0033,246,-0.0501,234,0.0534,0.0000,0.0027,-0.0027,0.0054
1,0.0430,0.0866,0.0031,0.0029,232,-0.0470,248,0.0500,0.0000,0.0072,-0.0023,0.0095
2,0.0456,0.0846,0.0028,0.0026,222,-0.0439,258,0.0487,0.0000,0.0117,-0.0019,0.0136
3,0.0482,0.0833,0.0027,0.0023,216,-0.0407,264,0.0488,0.0000,0.0161,-0.0015,0.0176
4,0.0507,0.0825,0.0026,0.0022,208,-0.0382,272,0.0489,0.0000,0.0205,-0.0011,0.0215
5,0.0532,0.0825,0.0027,0.0021,198,-0.0370,282,0.0493,0.0000,0.0247,-0.0007,0.0254
6,0.0556,0.0828,0.0028,0.0021,193,-0.0353,287,0.0509,0.0000,0.0288,-0.0004,0.0292
7,0.0579,0.0833,0.0030,0.0021,193,-0.0328,287,0.0533,0.0000,0.0329,0.0000,0.0329
8,0.0603,0.0838,0.0032,0.0021,189,-0.0312,291,0.0551,0.0000,0.0368,0.0004,0.0365
9,0.0625,0.0845,0.0034,0.0022,186,-0.0295,294,0.0570,0.0000,0.0407,0.0007,0.0400
10,0.0648,0.0852,0.0037,0.0022,184,-0.0278,296,0.0591,0.0000,0.0446,0.0011,0.0435
11,0.0670,0.0860,0.0041,0.0023,183,-0.0260,297,0.0614,0.0000,0.0483,0.0014,0.0469
12,0.0691,0.0869,0.0044,0.0024,178,-0.0250,302,0.0629,0.0000,0.0520,0.0018,0.0502
13,0.0712,0.0878,0.0048,0.0026,175,-0.0237,305,0.0648,0.0000,0.0556,0.0021,0.0535
14,0.0733,0.0888,0.0052,0.0027,167,-0.0232,313,0.0656,0.0000,0.0591,0.0025,0.0567
15,0.0754,0.0899,0.0056,0.0028,162,-0.0225,318,0.0670,0.0000,0.0626,0.0028,0.0598
16,0.0774,0.0911,0.0061,0.0029,160,-0.0214,320,0.0691,0.0000,0.0660,0.0032,0.0628
17,0.0793,0.0923,0.0065,0.0031,156,-0.0207,324,0.0707,0.0000,0.0694,0.0036,0.0658
18,0.0813,0.0935,0.0069,0.0032,158,-0.0193,322,0.0736,0.0000,0.0727,0.0039,0.0687
19,0.0832,0.0947,0.0074,0.0034,156,-0.0184,324,0.0756,0.0000,0.0759,0.0043,0.0716
20,0.0851,0.0959,0.0079,0.0035,154,-0.0176,326,0.0775,0.0000,0.0791,0.0047,0.0744
21,0.0870,0.0972,0.0083,0.0036,152,-0.0168,328,0.0794,0.0000,0.0822,0.0051,0.0771
22,0.0888,0.0985,0.0088,0.0038,151,-0.0160,329,0.0816,0.0000,0.0853,0.0055,0.0797
23,0.0907,0.0999,0.0093,0.0039,150,-0.0153,330,0.0837,0.0000,0.0883,0.0060,0.0823
24,0.0925,0.1012,0.0097,0.0040,148,-0.0147,332,0.0856,0.0000,0.0912,0.0064,0.0848
25,0.0943,0.1026,0.0102,0.0041,143,-0.0145,337,0.0867,0.0000,0.0941,0.0069,0.0872
26,0.0960,0.1039,0.0107,0.0043,143,-0.0138,337,0.0890,0.0000,0.0970,0.0074,0.0896
27,0.0977,0.1053,0.0112,0.0044,143,-0.0132,337,0.0913,0.0000,0.0998,0.0079,0.0919
28,0.0995,0.1067,0.0116,0.0045,139,-0.0129,341,0.0925,0.0000,0.1026,0.0084,0.0942
29,0.1012,0.1080,0.0121,0.0046,134,-0.0128,346,0.0934,0.0000,0.1053,0.0089,0.0964
30,0.1029,0.1094,0.0126,0.0047,131,-0.0126,349,0.0948,0.0000,0.1079,0.0095,0.0985
31,0.1045,0.1109,0.0130,0.0048,125,-0.0127,355,0.0953,0.0000,0.1106,0.0100,0.1005
32,0.1062,0.1123,0.0135,0.0050,126,-0.0122,354,0.0978,0.0000,0.1131,0.0106,0.1025
33,0.1078,0.1137,0.0140,0.0051,124,-0.0119,356,0.0994,0.0000,0.1157,0.0112,0.1045
34,0.1094,0.1152,0.0144,0.0052,125,-0.0115,355,0.1018,0.0000,0.1182,0.0119,0.1063
35,0.1110,0.1166,0.0149,0.0053,125,-0.0111,355,0.1040,0.0000,0.1206,0.0125,0.1081
36,0.1126,0.1180,0.0153,0.0054,123,-0.0110,357,0.1055,0.0000,0.1230,0.0132,0.1098
37,0.1142,0.1195,0.0158,0.0055,122,-0.0107,358,0.1073,0.0000,0.1254,0.0139,0.1115
