step,without Zealots_mean_opinion,without Zealots_mean_abs_opinion,without Zealots_non_zealot_variance,without Zealots_cluster_variance,without Zealots_negative_count,without Zealots_negative_mean,without Zealots_positive_count,without Zealots_positive_mean,without Zealots_polarization_index,without Zealots_identity_1_mean_opinion,without Zealots_identity_neg1_mean_opinion,without Zealots_identity_opinion_difference
0,0.0002,0.0518,0.0035,0.0033,251.8,-0.0512,248.2,0.0523,0.0000,0.0012,-0.0011,0.0023
1,-0.0001,0.0505,0.0034,0.0031,251.3,-0.0503,248.7,0.0506,0.0000,0.0013,-0.0018,0.0031
2,-0.0003,0.0526,0.0038,0.0033,254.1,-0.0519,245.9,0.0530,0.0002,0.0016,-0.0030,0.0046
3,-0.0009,0.0575,0.0047,0.0038,253.9,-0.0572,246.1,0.0572,0.0021,0.0017,-0.0046,0.0063
4,-0.0016,0.0645,0.0061,0.0045,253.9,-0.0646,246.1,0.0634,0.0154,0.0015,-0.0061,0.0076
5,-0.0021,0.0726,0.0078,0.0055,256.3,-0.0723,243.7,0.0717,0.0688,0.0014,-0.0076,0.0090
6,-0.0029,0.0815,0.0098,0.0065,256.5,-0.0814,243.5,0.0799,0.1937,0.0012,-0.0093,0.0105
7,-0.0035,0.0906,0.0122,0.0078,257.7,-0.0903,242.3,0.0887,0.4218,0.0011,-0.0108,0.0119
8,-0.0043,0.0994,0.0147,0.0091,256.7,-0.0997,243.3,0.0964,0.7258,0.0010,-0.0126,0.0135
9,-0.0049,0.1080,0.0175,0.0104,257.9,-0.1081,242.1,0.1049,1.1066,0.0010,-0.0143,0.0152
10,-0.0056,0.1165,0.0204,0.0118,259.2,-0.1163,240.8,0.1134,1.6834,0.0010,-0.0160,0.0171
11,-0.0063,0.1248,0.0234,0.0132,259.8,-0.1245,240.2,0.1215,2.2655,0.0012,-0.0179,0.0190
12,-0.0070,0.1329,0.0266,0.0146,260.2,-0.1326,239.8,0.1292,2.7379,0.0013,-0.0196,0.0209
13,-0.0077,0.1408,0.0298,0.0159,259.6,-0.1411,240.4,0.1362,3.4643,0.0013,-0.0213,0.0225
14,-0.0084,0.1485,0.0331,0.0173,259.6,-0.1489,240.4,0.1433,4.1594,0.0013,-0.0229,0.0242
15,-0.0090,0.1559,0.0364,0.0186,259.7,-0.1564,240.3,0.1500,5.0703,0.0014,-0.0245,0.0258
16,-0.0097,0.1632,0.0397,0.0199,259.0,-0.1643,241.0,0.1562,6.0209,0.0014,-0.0260,0.0274
17,-0.0103,0.1702,0.0430,0.0212,259.1,-0.1715,240.9,0.1626,6.9213,0.0015,-0.0275,0.0290
18,-0.0109,0.1770,0.0463,0.0224,258.5,-0.1790,241.5,0.1685,7.8559,0.0016,-0.0289,0.0306
19,-0.0114,0.1836,0.0496,0.0236,258.0,-0.1861,242.0,0.1742,8.6582,0.0017,-0.0303,0.0321
20,-0.0120,0.1901,0.0529,0.0246,257.9,-0.1928,242.1,0.1800,9.5474,0.0018,-0.0316,0.0334
21,-0.0125,0.1963,0.0561,0.0257,257.6,-0.1995,242.4,0.1855,10.1346,0.0019,-0.0330,0.0349
22,-0.0131,0.2024,0.0594,0.0267,257.9,-0.2055,242.1,0.1912,11.1251,0.0019,-0.0343,0.0363
23,-0.0136,0.2082,0.0625,0.0276,257.9,-0.2116,242.1,0.1966,11.9323,0.0020,-0.0356,0.0376
24,-0.0142,0.2139,0.0656,0.0285,258.1,-0.2175,241.9,0.2019,12.7440,0.0019,-0.0368,0.0387
25,-0.0148,0.2194,0.0687,0.0294,259.5,-0.2220,240.5,0.2081,13.7111,0.0018,-0.0379,0.0397
26,-0.0154,0.2248,0.0717,0.0302,259.9,-0.2273,240.1,0.2131,14.5160,0.0016,-0.0391,0.0407
27,-0.0160,0.2299,0.0747,0.0309,259.1,-0.2334,240.9,0.2170,15.4479,0.0015,-0.0403,0.0418
28,-0.0165,0.2348,0.0776,0.0317,259.1,-0.2385,240.9,0.2214,16.2342,0.0015,-0.0414,0.0428
29,-0.0171,0.2396,0.0804,0.0324,260.1,-0.2427,239.9,0.2266,16.9961,0.0013,-0.0425,0.0438
30,-0.0177,0.2442,0.0832,0.0330,260.0,-0.2477,240.0,0.2305,17.7240,0.0011,-0.0435,0.0447
31,-0.0183,0.2487,0.0858,0.0336,259.2,-0.2531,240.8,0.2336,18.4694,0.0010,-0.0446,0.0455
32,-0.0188,0.2530,0.0884,0.0342,258.8,-0.2581,241.2,0.2370,19.3174,0.0009,-0.0455,0.0464
33,-0.0193,0.2571,0.0910,0.0347,259.0,-0.2623,241.0,0.2408,19.9388,0.0008,-0.0465,0.0473
34,-0.0198,0.2611,0.0935,0.0352,259.5,-0.2659,240.5,0.2449,20.4581,0.0007,-0.0474,0.0482
35,-0.0202,0.2650,0.0959,0.0357,259.7,-0.2698,240.3,0.2484,21.1193,0.0007,-0.0483,0.0490
36,-0.0207,0.2687,0.0982,0.0361,260.2,-0.2733,239.8,0.2525,21.5483,0.0007,-0.0492,0.0499
37,-0.0211,0.2723,0.1005,0.0366,260.7,-0.2765,239.3,0.2562,21.9525,0.0006,-0.0501,0.0507
38,-0.0215,0.2757,0.1027,0.0370,260.8,-0.2800,239.2,0.2593,22.2198,0.0006,-0.0509,0.0516
39,-0.0220,0.2791,0.1049,0.0373,260.3,-0.2841,239.7,0.2618,22.6582,0.0007,-0.0518,0.0524
40,-0.0224,0.2823,0.1070,0.0377,260.3,-0.2874,239.7,0.2646,22.9936,0.0007,-0.0526,0.0533
41,-0.0228,0.2854,0.1090,0.0380,260.0,-0.2911,240.0,0.2670,23.3668,0.0008,-0.0535,0.0542
42,-0.0232,0.2884,0.1110,0.0383,260.0,-0.2943,240.0,0.2697,23.7508,0.0008,-0.0543,0.0552
43,-0.0235,0.2912,0.1129,0.0386,259.8,-0.2975,240.2,0.2720,23.8667,0.0010,-0.0552,0.0561
44,-0.0239,0.2940,0.1147,0.0389,259.6,-0.3006,240.4,0.2742,24.1860,0.0011,-0.0559,0.0570
45,-0.0242,0.2966,0.1165,0.0391,260.2,-0.3027,239.8,0.2773,24.4824,0.0012,-0.0567,0.0579
46,-0.0245,0.2992,0.1182,0.0393,260.4,-0.3051,239.6,0.2798,24.7548,0.0012,-0.0575,0.0587
47,-0.0248,0.3018,0.1199,0.0396,261.1,-0.3070,238.9,0.2829,25.0240,0.0013,-0.0582,0.0596
48,-0.0251,0.3042,0.1215,0.0398,261.3,-0.3092,238.7,0.2853,25.3063,0.0014,-0.0590,0.0604
49,-0.0254,0.3066,0.1231,0.0400,261.1,-0.3119,238.9,0.2872,25.5826,0.0015,-0.0597,0.0612
50,-0.0257,0.3088,0.1246,0.0402,261.4,-0.3139,238.6,0.2897,25.7033,0.0016,-0.0604,0.0620
51,-0.0260,0.3110,0.1261,0.0404,261.6,-0.3160,238.4,0.2918,25.8468,0.0017,-0.0611,0.0629
52,-0.0262,0.3131,0.1275,0.0405,261.7,-0.3180,238.3,0.2938,26.1585,0.0019,-0.0618,0.0637
53,-0.0265,0.3151,0.1289,0.0407,261.7,-0.3201,238.3,0.2957,26.3996,0.0020,-0.0625,0.0644
54,-0.0267,0.3171,0.1302,0.0408,262.2,-0.3215,237.8,0.2981,26.6441,0.0021,-0.0631,0.0652
55,-0.0269,0.3190,0.1315,0.0410,262.3,-0.3234,237.7,0.2999,26.9211,0.0022,-0.0637,0.0659
