agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,1,0,-0.4488,-0.1795,-0.3037,-0.4833
1,-1,0,-0.0170,-0.0068,-0.0102,-0.0170
2,1,0,-0.2588,-0.1035,-0.1613,-0.2649
3,-1,0,-0.6912,-0.2765,-0.5737,-0.8502
4,-1,0,-0.2525,-0.1010,-0.1571,-0.2581
5,-1,1,-0.5814,-0.2326,-0.4320,-0.6646
6,-1,0,0.5645,0.2258,0.4137,0.6395
7,-1,1,-0.5113,-0.2045,-0.3600,-0.5645
8,1,0,-0.4184,-0.1673,-0.2784,-0.4457
9,-1,0,-0.6704,-0.2681,-0.5433,-0.8114
10,-1,0,-0.7284,-0.2913,-0.6339,-0.9252
11,-1,0,-0.6193,-0.2477,-0.4762,-0.7239
12,1,1,0.1191,0.0476,0.0720,0.1196
13,1,0,0.3396,0.1358,0.2178,0.3536
14,-1,0,0.3448,0.1379,0.2216,0.3595
15,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
16,-1,0,-0.8508,-0.3403,-0.9186,-1.2589
17,-1,0,-0.5563,-0.2225,-0.4049,-0.6274
18,1,0,0.2591,0.1036,0.1616,0.2652
19,1,1,0.4722,0.1889,0.3240,0.5129
20,1,1,-0.5113,-0.2045,-0.3600,-0.5645
21,-1,0,-0.6293,-0.2517,-0.4886,-0.7403
22,1,0,-0.6587,-0.2635,-0.5270,-0.7905
23,-1,0,0.1546,0.0618,0.0941,0.1559
24,-1,0,-0.1462,-0.0585,-0.0888,-0.1473
25,1,1,0.0000,0.0000,0.0000,0.0000
26,-1,0,-0.6535,-0.2614,-0.5199,-0.7813
27,1,0,-0.2464,-0.0986,-0.1530,-0.2516
28,1,0,0.1619,0.0648,0.0986,0.1633
29,-1,0,-0.5066,-0.2026,-0.3555,-0.5581
30,-1,1,0.2328,0.0931,0.1440,0.2371
31,-1,0,-0.5767,-0.2307,-0.4268,-0.6574
32,1,0,0.4018,0.1607,0.2652,0.4259
33,-1,0,-0.6390,-0.2556,-0.5010,-0.7566
34,-1,1,0.1191,0.0476,0.0720,0.1196
35,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
36,-1,0,-0.2640,-0.1056,-0.1648,-0.2704
37,1,0,0.2446,0.0978,0.1519,0.2497
38,-1,0,-0.5946,-0.2378,-0.4469,-0.6848
39,-1,0,-0.3413,-0.1365,-0.2191,-0.3556
40,-1,0,-0.3163,-0.1265,-0.2010,-0.3276
41,-1,1,-0.4301,-0.1720,-0.2880,-0.4600
42,-1,0,0.1347,0.0539,0.0816,0.1355
43,1,0,-0.2834,-0.1134,-0.1780,-0.2914
44,1,1,-0.6414,-0.2566,-0.5040,-0.7606
45,-1,0,0.2328,0.0931,0.1440,0.2371
46,-1,0,0.6331,0.2532,0.4933,0.7466
47,1,0,-0.6416,-0.2566,-0.5042,-0.7609
48,1,1,-0.4301,-0.1720,-0.2880,-0.4600
49,-1,1,0.2328,0.0931,0.1440,0.2371
50,-1,0,-0.5036,-0.2014,-0.3527,-0.5541
51,1,0,-0.5424,-0.2170,-0.3906,-0.6076
52,-1,0,0.4562,0.1825,0.3102,0.4927
53,-1,0,-0.7128,-0.2851,-0.6077,-0.8928
54,-1,0,-0.2892,-0.1157,-0.1820,-0.2977
55,-1,0,-0.7423,-0.2969,-0.6587,-0.9557
56,1,0,-0.5596,-0.2238,-0.4084,-0.6322
57,-1,0,-0.5955,-0.2382,-0.4479,-0.6861
58,1,1,-0.5113,-0.2045,-0.3600,-0.5645
