step,with Clustered Zealots_mean_opinion,with Clustered Zealots_mean_abs_opinion,with Clustered Zealots_non_zealot_variance,with Clustered Zealots_cluster_variance,with Clustered Zealots_negative_count,with Clustered Zealots_negative_mean,with Clustered Zealots_positive_count,with Clustered Zealots_positive_mean,with Clustered Zealots_polarization_index,with Clustered Zealots_identity_1_mean_opinion,with Clustered Zealots_identity_neg1_mean_opinion,with Clustered Zealots_identity_opinion_difference
0,0.0398,0.0904,0.0036,0.0034,240.3,-0.0526,239.7,0.0524,0.0000,0.0002,-0.0003,0.0006
1,0.0407,0.0896,0.0036,0.0032,237.4,-0.0515,242.6,0.0519,0.0000,0.0019,-0.0001,0.0020
2,0.0419,0.0922,0.0041,0.0034,235.9,-0.0534,244.1,0.0553,0.0070,0.0042,0.0001,0.0041
3,0.0430,0.0977,0.0052,0.0040,233.5,-0.0586,246.5,0.0614,0.0458,0.0064,0.0002,0.0062
4,0.0441,0.1050,0.0068,0.0049,232.9,-0.0653,247.1,0.0697,0.1079,0.0085,0.0005,0.0080
5,0.0453,0.1132,0.0087,0.0059,232.0,-0.0731,248.0,0.0790,0.2871,0.0107,0.0008,0.0099
6,0.0465,0.1221,0.0111,0.0071,229.7,-0.0822,250.3,0.0883,0.6304,0.0128,0.0011,0.0118
7,0.0477,0.1311,0.0137,0.0084,227.2,-0.0915,252.8,0.0975,1.0950,0.0150,0.0016,0.0134
8,0.0490,0.1399,0.0165,0.0099,226.8,-0.0998,253.2,0.1072,1.6243,0.0171,0.0021,0.0149
9,0.0503,0.1483,0.0195,0.0114,226.7,-0.1078,253.3,0.1167,2.2660,0.0191,0.0027,0.0163
10,0.0515,0.1566,0.0227,0.0129,225.2,-0.1163,254.8,0.1252,3.0232,0.0210,0.0033,0.0178
11,0.0528,0.1645,0.0260,0.0144,224.0,-0.1243,256.0,0.1336,3.7825,0.0230,0.0040,0.0191
12,0.0541,0.1723,0.0293,0.0159,224.7,-0.1310,255.3,0.1429,4.5568,0.0251,0.0047,0.0204
13,0.0554,0.1798,0.0327,0.0174,223.7,-0.1386,256.3,0.1509,5.3400,0.0271,0.0053,0.0218
14,0.0566,0.1870,0.0362,0.0189,223.8,-0.1453,256.2,0.1591,6.0914,0.0290,0.0058,0.0232
15,0.0577,0.1940,0.0396,0.0203,223.3,-0.1521,256.7,0.1667,6.8652,0.0307,0.0063,0.0244
16,0.0588,0.2008,0.0430,0.0217,222.7,-0.1587,257.3,0.1739,7.7443,0.0325,0.0069,0.0256
17,0.0598,0.2074,0.0465,0.0231,222.3,-0.1652,257.7,0.1810,8.5586,0.0341,0.0073,0.0267
18,0.0607,0.2137,0.0498,0.0244,222.2,-0.1713,257.8,0.1880,9.2584,0.0356,0.0077,0.0279
19,0.0616,0.2198,0.0532,0.0257,222.4,-0.1769,257.6,0.1949,10.2476,0.0370,0.0081,0.0289
20,0.0625,0.2257,0.0565,0.0269,222.3,-0.1825,257.7,0.2013,11.0594,0.0383,0.0085,0.0298
