step,mean_opinion,mean_abs_opinion,non_zealot_variance,cluster_variance,negative_count,negative_mean,positive_count,positive_mean,polarization_index,identity_1_mean_opinion,identity_neg1_mean_opinion,identity_opinion_difference
0,0.0405,0.0905,0.0036,0.0034,225,-0.0556,255,0.0499,0.0000,0.0050,-0.0025,0.0075
1,0.0432,0.0906,0.0036,0.0034,220,-0.0538,260,0.0518,0.0000,0.0083,0.0001,0.0082
2,0.0451,0.0944,0.0043,0.0037,218,-0.0565,262,0.0568,0.0000,0.0117,0.0011,0.0106
3,0.0468,0.0998,0.0055,0.0044,215,-0.0615,265,0.0628,0.0471,0.0147,0.0021,0.0126
4,0.0488,0.1064,0.0070,0.0053,216,-0.0666,264,0.0712,0.1480,0.0173,0.0038,0.0135
5,0.0504,0.1144,0.0089,0.0063,214,-0.0748,266,0.0797,0.2645,0.0196,0.0050,0.0146
6,0.0518,0.1232,0.0112,0.0076,209,-0.0854,271,0.0876,0.5996,0.0217,0.0060,0.0157
7,0.0536,0.1322,0.0138,0.0089,207,-0.0949,273,0.0969,1.0984,0.0237,0.0078,0.0159
8,0.0554,0.1410,0.0166,0.0102,208,-0.1029,272,0.1070,1.6163,0.0258,0.0095,0.0163
9,0.0572,0.1495,0.0195,0.0116,207,-0.1115,273,0.1160,2.1823,0.0278,0.0113,0.0165
10,0.0589,0.1578,0.0227,0.0130,207,-0.1194,273,0.1252,3.0574,0.0296,0.0130,0.0166
11,0.0605,0.1658,0.0259,0.0145,202,-0.1303,278,0.1316,3.9479,0.0315,0.0147,0.0168
12,0.0622,0.1737,0.0293,0.0158,200,-0.1393,280,0.1392,4.5069,0.0336,0.0162,0.0174
13,0.0639,0.1815,0.0327,0.0172,197,-0.1492,283,0.1461,5.6072,0.0360,0.0175,0.0185
14,0.0652,0.1891,0.0361,0.0185,196,-0.1581,284,0.1534,6.2580,0.0381,0.0184,0.0197
15,0.0665,0.1966,0.0396,0.0198,196,-0.1660,284,0.1611,7.5363,0.0402,0.0191,0.0211
16,0.0676,0.2039,0.0432,0.0211,201,-0.1696,279,0.1716,8.1499,0.0420,0.0199,0.0222
17,0.0686,0.2111,0.0467,0.0223,202,-0.1764,278,0.1796,9.4303,0.0435,0.0206,0.0230
18,0.0694,0.2179,0.0503,0.0235,203,-0.1830,277,0.1871,9.9561,0.0449,0.0210,0.0239
19,0.0701,0.2245,0.0539,0.0246,207,-0.1865,273,0.1965,11.1635,0.0463,0.0214,0.0248
20,0.0708,0.2309,0.0574,0.0257,208,-0.1924,272,0.2037,12.9369,0.0473,0.0218,0.0255
21,0.0714,0.2370,0.0609,0.0267,208,-0.1991,272,0.2099,14.2101,0.0484,0.0222,0.0262
22,0.0723,0.2430,0.0643,0.0277,208,-0.2052,272,0.2162,15.0423,0.0493,0.0231,0.0262
23,0.0731,0.2487,0.0677,0.0285,207,-0.2120,273,0.2214,16.2462,0.0502,0.0240,0.0262
24,0.0739,0.2541,0.0710,0.0294,207,-0.2176,273,0.2272,17.8360,0.0511,0.0249,0.0262
25,0.0747,0.2594,0.0742,0.0302,203,-0.2275,277,0.2294,18.3657,0.0518,0.0257,0.0261
26,0.0755,0.2646,0.0773,0.0310,204,-0.2316,276,0.2356,18.8859,0.0526,0.0267,0.0259
27,0.0763,0.2694,0.0804,0.0318,204,-0.2367,276,0.2407,20.4748,0.0533,0.0276,0.0257
28,0.0771,0.2742,0.0834,0.0325,203,-0.2427,277,0.2448,21.3872,0.0539,0.0284,0.0255
