step,community_0,community_1,community_2,community_3,community_4,community_6,community_7,community_8,community_9,community_10,community_11,community_14,community_15,community_17,community_18,community_19,community_20,community_21,community_22,community_27,community_28,community_29,community_30,community_31,community_38,community_39,community_40,community_52,community_57
0,0.0041,0.0033,0.0033,0.0044,0.0037,0.0039,0.0036,0.0032,0.0027,0.0041,0.0036,0.0028,0.0037,0.0038,0.0038,0.0028,0.0042,0.0026,0.0037,0.0023,0.0044,0.0039,0.0033,0.0032,0.0032,0.0036,0.0041,0.0026,0.0032
1,0.0036,0.0035,0.0038,0.0036,0.0035,0.0035,0.0032,0.0029,0.0029,0.0045,0.0034,0.0024,0.0032,0.0042,0.0040,0.0021,0.0036,0.0023,0.0030,0.0028,0.0041,0.0029,0.0030,0.0036,0.0027,0.0034,0.0036,0.0026,0.0030
2,0.0035,0.0037,0.0047,0.0031,0.0035,0.0034,0.0031,0.0030,0.0035,0.0060,0.0033,0.0029,0.0034,0.0049,0.0051,0.0023,0.0034,0.0024,0.0025,0.0036,0.0041,0.0028,0.0030,0.0044,0.0023,0.0035,0.0034,0.0030,0.0033
3,0.0037,0.0040,0.0060,0.0032,0.0037,0.0038,0.0030,0.0031,0.0044,0.0080,0.0034,0.0038,0.0043,0.0061,0.0064,0.0028,0.0035,0.0025,0.0025,0.0046,0.0044,0.0036,0.0032,0.0056,0.0020,0.0040,0.0033,0.0036,0.0038
4,0.0042,0.0043,0.0075,0.0035,0.0040,0.0044,0.0033,0.0029,0.0055,0.0104,0.0036,0.0048,0.0057,0.0075,0.0080,0.0036,0.0039,0.0027,0.0027,0.0059,0.0049,0.0051,0.0036,0.0070,0.0018,0.0047,0.0035,0.0042,0.0049
5,0.0049,0.0046,0.0093,0.0040,0.0044,0.0052,0.0040,0.0028,0.0071,0.0133,0.0038,0.0060,0.0077,0.0090,0.0096,0.0046,0.0045,0.0030,0.0032,0.0072,0.0055,0.0071,0.0041,0.0087,0.0016,0.0056,0.0039,0.0049,0.0060
6,0.0059,0.0050,0.0113,0.0042,0.0047,0.0061,0.0049,0.0027,0.0089,0.0164,0.0042,0.0072,0.0101,0.0108,0.0113,0.0058,0.0053,0.0033,0.0038,0.0087,0.0062,0.0094,0.0047,0.0106,0.0016,0.0066,0.0046,0.0057,0.0073
7,0.0070,0.0053,0.0136,0.0046,0.0051,0.0071,0.0061,0.0026,0.0108,0.0198,0.0046,0.0085,0.0128,0.0125,0.0130,0.0071,0.0061,0.0036,0.0046,0.0099,0.0070,0.0120,0.0054,0.0125,0.0016,0.0078,0.0051,0.0066,0.0088
8,0.0083,0.0057,0.0160,0.0052,0.0055,0.0082,0.0074,0.0026,0.0128,0.0235,0.0051,0.0098,0.0156,0.0144,0.0148,0.0085,0.0069,0.0040,0.0056,0.0112,0.0078,0.0148,0.0061,0.0145,0.0017,0.0091,0.0057,0.0075,0.0103
9,0.0096,0.0061,0.0185,0.0059,0.0060,0.0094,0.0089,0.0026,0.0149,0.0272,0.0056,0.0111,0.0174,0.0163,0.0166,0.0100,0.0077,0.0043,0.0068,0.0125,0.0087,0.0178,0.0069,0.0159,0.0018,0.0105,0.0065,0.0084,0.0119
