step,with Random Zealots_mean_opinion,with Random Zealots_mean_abs_opinion,with Random Zealots_non_zealot_variance,with Random Zealots_cluster_variance,with Random Zealots_negative_count,with Random Zealots_negative_mean,with Random Zealots_positive_count,with Random Zealots_positive_mean,with Random Zealots_polarization_index,with Random Zealots_identity_1_mean_opinion,with Random Zealots_identity_neg1_mean_opinion,with Random Zealots_identity_opinion_difference
0,0.0398,0.0902,0.0036,0.0033,240.2,-0.0524,239.8,0.0522,0.0000,0.0003,-0.0003,0.0006
1,0.0413,0.0896,0.0036,0.0032,235.2,-0.0514,244.8,0.0520,0.0000,0.0032,-0.0001,0.0033
2,0.0432,0.0924,0.0041,0.0035,230.7,-0.0534,249.3,0.0557,0.0072,0.0070,0.0000,0.0070
3,0.0451,0.0981,0.0052,0.0041,226.8,-0.0584,253.2,0.0623,0.0405,0.0112,0.0001,0.0111
4,0.0472,0.1053,0.0067,0.0050,224.0,-0.0647,256.0,0.0707,0.1019,0.0156,0.0003,0.0153
5,0.0494,0.1136,0.0087,0.0061,221.3,-0.0723,258.7,0.0800,0.2615,0.0200,0.0005,0.0195
6,0.0515,0.1225,0.0109,0.0073,218.0,-0.0811,262.0,0.0894,0.5615,0.0244,0.0007,0.0236
7,0.0537,0.1314,0.0134,0.0087,214.8,-0.0901,265.2,0.0988,0.9854,0.0287,0.0012,0.0275
8,0.0559,0.1402,0.0162,0.0102,214.3,-0.0978,265.7,0.1089,1.5211,0.0330,0.0017,0.0313
9,0.0581,0.1486,0.0191,0.0118,212.9,-0.1056,267.1,0.1182,2.0893,0.0372,0.0022,0.0350
10,0.0603,0.1568,0.0221,0.0134,211.3,-0.1134,268.7,0.1271,2.7755,0.0415,0.0027,0.0388
11,0.0626,0.1647,0.0253,0.0150,209.5,-0.1210,270.5,0.1356,3.4801,0.0457,0.0034,0.0423
12,0.0649,0.1725,0.0285,0.0166,208.0,-0.1282,272.0,0.1441,4.2827,0.0499,0.0041,0.0458
13,0.0672,0.1800,0.0318,0.0182,206.5,-0.1354,273.5,0.1522,5.0251,0.0542,0.0047,0.0495
14,0.0694,0.1874,0.0351,0.0197,205.7,-0.1421,274.3,0.1605,5.8756,0.0584,0.0053,0.0531
15,0.0716,0.1945,0.0385,0.0213,204.5,-0.1488,275.5,0.1682,6.6422,0.0626,0.0059,0.0567
16,0.0737,0.2014,0.0418,0.0228,203.1,-0.1555,276.9,0.1754,7.3569,0.0667,0.0064,0.0603
17,0.0758,0.2081,0.0451,0.0242,201.7,-0.1621,278.3,0.1824,8.1693,0.0707,0.0069,0.0637
18,0.0778,0.2146,0.0484,0.0256,201.1,-0.1681,278.9,0.1896,8.8718,0.0745,0.0074,0.0671
19,0.0797,0.2209,0.0517,0.0270,200.5,-0.1738,279.5,0.1965,9.7874,0.0782,0.0079,0.0702
20,0.0816,0.2270,0.0549,0.0283,200.1,-0.1792,279.9,0.2033,10.5193,0.0819,0.0084,0.0734
21,0.0835,0.2328,0.0581,0.0295,199.9,-0.1843,280.1,0.2100,11.2904,0.0854,0.0089,0.0765
22,0.0854,0.2385,0.0612,0.0307,198.8,-0.1901,281.2,0.2159,12.2564,0.0890,0.0095,0.0795
23,0.0873,0.2440,0.0643,0.0318,198.2,-0.1952,281.8,0.2219,13.0962,0.0925,0.0101,0.0824
24,0.0891,0.2493,0.0673,0.0329,197.9,-0.1996,282.1,0.2279,14.0645,0.0959,0.0107,0.0852
25,0.0909,0.2544,0.0702,0.0339,197.2,-0.2046,282.8,0.2333,14.9578,0.0992,0.0112,0.0880
26,0.0926,0.2593,0.0730,0.0349,196.9,-0.2089,283.1,0.2389,15.7345,0.1024,0.0117,0.0907
27,0.0942,0.2640,0.0758,0.0358,196.3,-0.2132,283.7,0.2439,16.5606,0.1055,0.0122,0.0933
28,0.0958,0.2685,0.0785,0.0367,195.8,-0.2173,284.2,0.2489,17.4246,0.1085,0.0127,0.0957
29,0.0974,0.2728,0.0812,0.0375,195.2,-0.2214,284.8,0.2534,17.8175,0.1113,0.0132,0.0981
30,0.0989,0.2770,0.0837,0.0383,195.6,-0.2241,284.4,0.2587,18.6599,0.1141,0.0137,0.1003
31,0.1004,0.2810,0.0862,0.0390,194.5,-0.2287,285.5,0.2624,19.4253,0.1167,0.0142,0.1025
32,0.1017,0.2849,0.0886,0.0397,193.4,-0.2332,286.6,0.2659,20.2189,0.1193,0.0146,0.1047
33,0.1031,0.2886,0.0910,0.0404,193.0,-0.2366,287.0,0.2699,21.0836,0.1218,0.0150,0.1069
34,0.1044,0.2922,0.0932,0.0410,192.6,-0.2398,287.4,0.2738,21.6034,0.1243,0.0153,0.1089
