agent_id,identity,morality,opinion,self_activation,social_influence,total_activation
0,-1,1,-0.3773,-0.1509,-0.2460,-0.3969
1,1,0,0.5203,0.2081,0.3686,0.5767
2,-1,0,0.1412,0.0565,0.0857,0.1422
3,1,0,0.7380,0.2952,0.6509,0.9461
4,1,1,0.2328,0.0931,0.1440,0.2371
5,1,0,-0.2405,-0.0962,-0.1482,-0.2444
6,1,0,0.6553,0.2621,0.5224,0.7846
7,-1,0,0.7665,0.3066,0.7053,1.0119
8,-1,1,-0.2628,-0.1051,-0.1640,-0.2691
9,1,1,-0.3534,-0.1414,-0.2280,-0.3694
10,1,0,0.5359,0.2144,0.3844,0.5987
11,1,0,0.6641,0.2656,0.5344,0.8000
12,-1,1,-0.3205,-0.1282,-0.2040,-0.3322
13,1,0,-0.2146,-0.0858,-0.1322,-0.2180
14,-1,0,0.4301,0.1720,0.2880,0.4600
15,1,0,0.6058,0.2423,0.4600,0.7023
16,-1,0,0.2546,0.1018,0.1598,0.2616
17,-1,0,0.5841,0.2337,0.4351,0.6687
18,-1,0,0.0559,0.0223,0.0337,0.0561
19,-1,0,0.5150,0.2060,0.3637,0.5697
20,1,0,-0.4272,-0.1709,-0.2858,-0.4566
21,-1,0,0.6834,0.2734,0.5622,0.8355
22,1,0,-0.4160,-0.1664,-0.2766,-0.4430
23,1,1,-0.2328,-0.0931,-0.1440,-0.2371
24,1,0,0.3411,0.1365,0.2189,0.3554
25,-1,0,-0.1530,-0.0612,-0.0930,-0.1542
26,1,0,-0.0691,-0.0277,-0.0415,-0.0692
27,-1,1,-0.2628,-0.1051,-0.1640,-0.2691
28,-1,0,-0.1568,-0.0627,-0.0954,-0.1581
29,1,1,0.3773,0.1509,0.2460,0.3969
30,1,0,0.2239,0.0896,0.1383,0.2278
31,1,0,0.5922,0.2369,0.4442,0.6811
32,-1,0,0.4502,0.1801,0.3050,0.4851
33,1,0,0.6768,0.2707,0.5524,0.8231
34,1,0,0.3556,0.1422,0.2296,0.3718
35,1,1,0.3773,0.1509,0.2460,0.3969
36,-1,0,0.5492,0.2197,0.3975,0.6172
37,-1,0,0.0366,0.0146,0.0222,0.0368
38,1,0,0.1724,0.0690,0.1057,0.1746
39,-1,0,0.3334,0.1334,0.2133,0.3466
40,1,0,-0.5643,-0.2257,-0.4134,-0.6391
41,-1,1,0.3773,0.1509,0.2460,0.3969
42,1,0,0.4263,0.1705,0.2850,0.4555
43,1,0,-0.1397,-0.0559,-0.0844,-0.1403
44,-1,0,0.7844,0.3138,0.7433,1.0570
45,1,1,-0.1191,-0.0476,-0.0720,-0.1196
46,-1,0,0.5877,0.2351,0.4390,0.6741
47,-1,0,0.5935,0.2374,0.4458,0.6832
48,1,0,0.1473,0.0589,0.0905,0.1494
49,-1,0,0.1789,0.0715,0.1093,0.1808
50,1,0,0.1302,0.0520,0.0793,0.1313
51,-1,1,0.3371,0.1349,0.2160,0.3509
52,1,0,0.2989,0.1196,0.1888,0.3083
53,1,1,0.5814,0.2326,0.4320,0.6646
54,-1,1,0.2328,0.0931,0.1440,0.2371
55,1,0,0.4140,0.1656,0.2762,0.4417
56,-1,0,0.5542,0.2217,0.4027,0.6244
57,-1,0,0.6523,0.2609,0.5183,0.7793
58,1,0,0.2542,0.1016,0.1600,0.2616
59,-1,0,0.1047,0.0419,0.0632,0.1051
60,1,1,-0.3371,-0.1349,-0.2160,-0.3509
61,1,1,1.0000,0.4000,-0.0200,0.3800
62,1,0,0.1272,0.0509,0.0772,0.1281
63,-1,0,0.0840,0.0336,0.0506,0.0842
64,1,0,-0.1740,-0.0696,-0.1061,-0.1757
65,1,1,0.2328,0.0931,0.1440,0.2371
66,1,1,0.2628,0.1051,0.1640,0.2691
67,-1,0,0.6899,0.2760,0.5718,0.8478
68,-1,0,0.6632,0.2653,0.5333,0.7985
69,1,0,0.3638,0.1455,0.2357,0.3812
70,-1,0,0.7255,0.2902,0.6293,0.9195
71,1,1,1.0000,0.4000,0.1440,0.5440
72,1,1,1.0000,0.4000,0.1440,0.5440
73,-1,0,0.7907,0.3163,0.7571,1.0734
74,1,0,0.6468,0.2587,0.5111,0.7699
75,1,1,-0.0499,-0.0200,-0.0300,-0.0500
76,-1,0,0.4584,0.1834,0.3125,0.4958
77,-1,1,0.4301,0.1720,0.2880,0.4600
78,-1,0,0.3028,0.1211,0.1914,0.3125
79,1,0,0.0000,0.0000,0.0000,0.0000
80,-1,1,0.1191,0.0476,0.0720,0.1196
81,-1,1,-0.1191,-0.0476,-0.0720,-0.1196
82,-1,0,0.3797,0.1519,0.2481,0.3999
83,1,0,0.2041,0.0816,0.1254,0.2071
84,-1,1,-0.0000,-0.0000,0.0000,-0.0000
85,1,0,-0.5814,-0.2326,-0.4320,-0.6646
86,1,1,1.0000,0.4000,-0.0200,0.3800
87,-1,0,-0.3909,-0.1564,-0.2560,-0.4124
88,1,1,-0.2328,-0.0931,-0.1440,-0.2371
89,1,0,0.1065,0.0426,0.0649,0.1074
90,1,1,-0.0000,-0.0000,0.0000,-0.0000
91,1,0,0.6901,0.2760,0.5730,0.8490
92,-1,0,-0.0000,-0.0000,0.0000,-0.0000
93,1,0,-0.6499,-0.2599,-0.5153,-0.7752
94,1,1,1.0000,0.4000,0.1080,0.5080
95,-1,0,0.6678,0.2671,0.5397,0.8068
96,1,1,0.3371,0.1349,0.2160,0.3509
97,-1,1,0.2328,0.0931,0.1440,0.2371
